Year,Actualized cost
Y0,50633370262.52908
Y1,101321597128.70963
Y2,159237450196.89438
Y3,116856417804.8275
Y4,110723467590.47203
Y5,104990099940.48387
Y6,98541916002.53592
Y7,92418461031.10947
Y8,86713863569.56802
Y9,81389267780.3823
Y10,74387113190.58119
Y11,67399771681.86443
Y12,62426963070.76994
Y13,56549335159.43368
Y14,52598432822.97316
Y15,49162077065.20188
Y16,46371181718.678535
Y17,45906177245.55773
Y18,43384124017.82731
Y19,41625268476.23584
Y20,39554551302.107056
Y21,37409388866.180405
Y22,36160662348.63763
Y23,34849908364.04308
Y24,33580137296.687202
Y25,32370657899.88946
Y26,30234691743.03122
Y27,28768904281.963123
Y28,27390315119.920063
Y29,26042440408.091484
Y30,24769792843.665432
Y31,23112040513.20505
Y32,21958317109.897278
Y33,20858506913.02408
Y34,19811350722.700127
Y35,18798646463.815857
Y36,17347444869.655544
Y37,16489587739.604706
Y38,15685594418.565279
Y39,14908897516.624647
Y40,14175559296.795017
Y41,13794240632.660448
Y42,13318353306.36406
Y43,12553774956.979736
Y44,11932989393.784828
Y45,11304103836.589949
Y46,10619869296.042309
Y47,10069010300.150583
Y48,9507520915.183887
Y49,8969045126.668566
Y50,8449011911.197334
