Year,Actualized emission
Y0,936567587.0902913
Y1,828824095.2819138
Y2,758120757.3341782
Y3,708390292.4087493
Y4,661708819.0509273
Y5,617649670.4847932
Y6,569075457.2303184
Y7,524692366.71493465
Y8,483316368.16485745
Y9,445169351.02806115
Y10,411338238.0465171
Y11,381775421.92855024
Y12,354333328.9422242
Y13,329590545.5691662
Y14,306662165.15228605
Y15,285309314.4402046
Y16,267536887.02632535
Y17,250258227.02682692
Y18,233159326.38007665
Y19,216883703.2700928
Y20,201629433.54287374
Y21,192769491.80483377
Y22,184445619.3832872
Y23,176028111.3116962
Y24,167697354.57805812
Y25,159765575.76178744
Y26,152157691.20170233
Y27,144912086.85876414
Y28,138011511.29406103
Y29,131439534.56577222
Y30,125180509.11025943
Y31,119219532.48596138
Y32,113542411.8913916
Y33,108135630.37275405
Y34,102986314.64071816
Y35,97746308.51764967
Y36,92907215.08519316
Y37,88483061.98589824
Y38,84269582.84371258
Y39,80256745.56544055
Y40,76458144.15287262
Y41,73642425.56368405
Y42,70831568.46891569
Y43,68282942.9949994
Y44,65888268.81901813
Y45,63566822.244842306
Y46,61213794.044717774
Y47,59022500.28867698
Y48,56901094.38685124
Y49,54847889.27320696
Y50,52383681.59601877
