Year,Actualized emission
Y0,907372520.5238695
Y1,813370939.6920801
Y2,774868412.5187609
Y3,746138502.3404968
Y4,718840246.1856334
Y5,692403793.9851675
Y6,646831960.7707181
Y7,606519515.2505655
Y8,568756069.2041477
Y9,534001417.49333555
Y10,500923131.4292204
Y11,468521349.2401377
Y12,440313677.09729046
Y13,414453638.4144555
Y14,390563465.51160955
Y15,368214070.4409122
Y16,344123651.6142514
Y17,324584493.26166606
Y18,306158232.3643238
Y19,288932508.99125445
Y20,272280796.4371444
Y21,259411786.61475116
Y22,246698780.87059835
Y23,234829338.2074978
Y24,223037989.17744282
Y25,212150218.58303118
Y26,201935471.42836472
Y27,192456332.01610562
Y28,183291744.7772434
Y29,174563566.45451754
Y30,166214189.18853635
Y31,158299227.79860604
Y32,150709839.150748
Y33,143533180.14356956
Y34,136832809.7915429
Y35,130134752.72803348
Y36,123989357.64480688
Y37,118085102.51886368
Y38,112462002.3989178
Y39,107106668.95135027
Y40,102006351.38223834
Y41,97148906.07832223
Y42,92522767.69364023
Y43,88116921.61299068
Y44,83930176.7444004
Y45,80004634.71988639
Y46,76063973.02958561
Y47,72327745.8922832
Y48,68890883.07177454
Y49,65656275.67761589
Y50,62662481.4515131
