Year,Actualized emission
Y0,907372520.5918913
Y1,814752458.4928515
Y2,780911736.8825884
Y3,724285783.7772653
Y4,691782952.2715263
Y5,659384958.0013285
Y6,611248190.0040312
Y7,566966756.5971278
Y8,526597223.5516035
Y9,487285174.07997113
Y10,459393852.59075844
Y11,430308860.872678
Y12,403170340.9322943
Y13,376845376.51103157
Y14,334321810.9270981
Y15,312203049.11070156
Y16,290267432.6329979
Y17,267657380.5031791
Y18,246298841.88451126
Y19,226956593.58298722
Y20,209355992.3034958
Y21,193652653.88160703
Y22,179367902.98441377
Y23,165737850.15429425
Y24,152869692.7795733
Y25,141310876.68247354
Y26,134045628.1713865
Y27,127075833.46398634
Y28,120512481.78353313
Y29,114269147.39460622
Y30,108351132.66191892
Y31,103196877.77080983
Y32,98282740.73410462
Y33,93602610.22295675
Y34,89325248.82882325
Y35,84841378.90207718
Y36,80862812.08191487
Y37,77012201.98277606
Y38,73344954.26931053
Y39,69851767.27450684
Y40,66523039.575205095
Y41,63354964.41806024
Y42,60338061.350533545
Y43,57476113.72032389
Y44,54818416.7764986
Y45,52414468.64090848
Y46,49804813.80875913
Y47,47593934.89530042
Y48,45238916.543165535
Y49,43105626.21740386
Y50,41067845.884124726
