Year,Actualized cost
Y0,68148060103.0502
Y1,94974693458.7047
Y2,155867372933.1497
Y3,88565201262.2179
Y4,85719966701.21304
Y5,83291640919.86023
Y6,76973141712.44028
Y7,70933871675.41933
Y8,66502195723.41803
Y9,63589705085.36151
Y10,61051132320.48197
Y11,54889455051.3291
Y12,51314694500.026276
Y13,48182821632.020935
Y14,45716702147.421844
Y15,43636520896.53096
Y16,41271118729.156265
Y17,39311428848.019844
Y18,37492198058.2568
Y19,36546935830.60917
Y20,33755180445.369423
Y21,32095071866.084953
Y22,30764532742.664867
Y23,28860681545.087826
Y24,27233531829.248142
Y25,27097388172.01205
Y26,25607055774.075165
Y27,24155995277.152767
Y28,22501938696.814316
Y29,21270082271.089115
Y30,20072763010.36469
Y31,18769893189.98739
Y32,17456096761.291515
Y33,16670435928.133919
Y34,15951099205.88937
Y35,15283236525.796568
Y36,14207663002.926847
Y37,13510269211.541143
Y38,12850735156.838305
Y39,12225753865.22628
Y40,11746189771.753395
Y41,11123723502.006058
Y42,10588706816.600487
Y43,10066971157.71784
Y44,9569469162.429342
Y45,9073595770.792183
Y46,8582111280.782404
Y47,8122986146.583166
Y48,7718191431.495217
Y49,7370038835.626217
Y50,7053567362.944441
