,Datetime,Region,Technology,Emission,Value
0,2020,reg1,Oil_supply,CO2,38300580.562091954
1,2021,reg1,Oil_supply,CO2,38901142.58803844
2,2022,reg1,Oil_supply,CO2,41754627.647854194
3,2023,reg1,Oil_supply,CO2,40083395.320754625
4,2024,reg1,Oil_supply,CO2,40665086.02752436
5,2025,reg1,Oil_supply,CO2,41240486.29456852
6,2026,reg1,Oil_supply,CO2,40092899.37829078
7,2027,reg1,Oil_supply,CO2,38926577.11924154
8,2028,reg1,Oil_supply,CO2,37741721.80841345
9,2029,reg1,Oil_supply,CO2,33197877.755700294
10,2030,reg1,Oil_supply,CO2,35317266.14752456
11,2031,reg1,Oil_supply,CO2,34973548.86350219
12,2032,reg1,Oil_supply,CO2,34632580.816739105
13,2033,reg1,Oil_supply,CO2,34372085.5853563
14,2034,reg1,Oil_supply,CO2,33958892.43499074
15,2035,reg1,Oil_supply,CO2,33616580.33290885
16,2036,reg1,Oil_supply,CO2,32597302.48330468
17,2037,reg1,Oil_supply,CO2,31568432.86660389
18,2038,reg1,Oil_supply,CO2,28595317.38258698
19,2039,reg1,Oil_supply,CO2,26861076.305277307
20,2040,reg1,Oil_supply,CO2,25939771.119251125
21,2041,reg1,Oil_supply,CO2,24990545.658993945
22,2042,reg1,Oil_supply,CO2,24062900.422307633
23,2043,reg1,Oil_supply,CO2,23135255.185621385
24,2044,reg1,Oil_supply,CO2,22207609.948935147
25,2045,reg1,Oil_supply,CO2,21279964.712248858
26,2046,reg1,Oil_supply,CO2,21253702.874520086
27,2047,reg1,Oil_supply,CO2,21227441.036791343
28,2048,reg1,Oil_supply,CO2,21201179.199062593
29,2049,reg1,Oil_supply,CO2,21174917.361333847
30,2050,reg1,Oil_supply,CO2,21148655.523605105
31,2051,reg1,Oil_supply,CO2,21148655.5236051
32,2052,reg1,Oil_supply,CO2,21148655.523605105
33,2053,reg1,Oil_supply,CO2,21148655.52360511
34,2054,reg1,Oil_supply,CO2,21260232.89135244
35,2055,reg1,Oil_supply,CO2,21148655.523605056
36,2056,reg1,Oil_supply,CO2,21148655.5236051
37,2057,reg1,Oil_supply,CO2,21148655.523605105
38,2058,reg1,Oil_supply,CO2,21148655.5236051
39,2059,reg1,Oil_supply,CO2,21148655.5236051
40,2060,reg1,Oil_supply,CO2,21148655.5236051
41,2061,reg1,Oil_supply,CO2,21148655.5236051
42,2062,reg1,Oil_supply,CO2,21148655.5236051
43,2063,reg1,Oil_supply,CO2,21148655.5236051
44,2064,reg1,Oil_supply,CO2,21148655.5236051
45,2065,reg1,Oil_supply,CO2,21148655.5236051
46,2066,reg1,Oil_supply,CO2,21148655.52360511
47,2067,reg1,Oil_supply,CO2,21279964.712248832
48,2068,reg1,Oil_supply,CO2,21148655.523605093
49,2069,reg1,Oil_supply,CO2,21148655.5236051
50,2070,reg1,Oil_supply,CO2,21148655.5236051
51,2020,reg1,NG_supply,CO2,83320299.46976724
52,2021,reg1,NG_supply,CO2,72916118.80896355
53,2022,reg1,NG_supply,CO2,67851472.06830032
54,2023,reg1,NG_supply,CO2,74387664.08917886
55,2024,reg1,NG_supply,CO2,73004261.82999852
56,2025,reg1,NG_supply,CO2,71271689.26686671
57,2026,reg1,NG_supply,CO2,69290616.19456525
58,2027,reg1,NG_supply,CO2,67539675.46321896
59,2028,reg1,NG_supply,CO2,66049449.688995145
60,2029,reg1,NG_supply,CO2,64630917.410390854
61,2030,reg1,NG_supply,CO2,63687401.1579312
62,2031,reg1,NG_supply,CO2,62070575.34592696
63,2032,reg1,NG_supply,CO2,60868810.69417162
64,2033,reg1,NG_supply,CO2,58844283.275736555
65,2034,reg1,NG_supply,CO2,57707134.63258577
66,2035,reg1,NG_supply,CO2,56609359.09870696
67,2036,reg1,NG_supply,CO2,58455088.502828956
68,2037,reg1,NG_supply,CO2,60333140.80330658
69,2038,reg1,NG_supply,CO2,61772531.669529796
70,2039,reg1,NG_supply,CO2,63554407.9746024
71,2040,reg1,NG_supply,CO2,65247045.23868373
72,2041,reg1,NG_supply,CO2,68097192.14906232
73,2042,reg1,NG_supply,CO2,70374735.22886631
74,2043,reg1,NG_supply,CO2,72621425.23264828
75,2044,reg1,NG_supply,CO2,74666618.67269468
76,2045,reg1,NG_supply,CO2,76857383.353026
77,2046,reg1,NG_supply,CO2,76460267.34974329
78,2047,reg1,NG_supply,CO2,76066846.7714837
79,2048,reg1,NG_supply,CO2,75642229.68123636
80,2049,reg1,NG_supply,CO2,75217612.59098902
81,2050,reg1,NG_supply,CO2,74789269.26720893
82,2051,reg1,NG_supply,CO2,74791490.35831119
83,2052,reg1,NG_supply,CO2,74793880.55642377
84,2053,reg1,NG_supply,CO2,74795654.30521496
85,2054,reg1,NG_supply,CO2,74954917.00270808
86,2055,reg1,NG_supply,CO2,74736786.22094773
87,2056,reg1,NG_supply,CO2,74814138.39057049
88,2057,reg1,NG_supply,CO2,74814138.3905705
89,2058,reg1,NG_supply,CO2,74814138.3905705
90,2059,reg1,NG_supply,CO2,74814138.39057049
91,2060,reg1,NG_supply,CO2,74809451.20321633
92,2061,reg1,NG_supply,CO2,74801700.49679774
93,2062,reg1,NG_supply,CO2,74800281.05561355
94,2063,reg1,NG_supply,CO2,74810607.44143319
95,2064,reg1,NG_supply,CO2,74782513.11038476
96,2065,reg1,NG_supply,CO2,74975525.13153106
97,2066,reg1,NG_supply,CO2,74708449.95283647
98,2067,reg1,NG_supply,CO2,74522817.94087504
99,2068,reg1,NG_supply,CO2,74412358.85668926
100,2069,reg1,NG_supply,CO2,74407229.52255142
101,2070,reg1,NG_supply,CO2,74478974.02854133
102,2020,reg1,SFF_supply,CO2,2185148.467947185
103,2021,reg1,SFF_supply,CO2,2239359.103895283
104,2022,reg1,SFF_supply,CO2,2237315.5912333014
105,2023,reg1,SFF_supply,CO2,722209.8809883612
106,2024,reg1,SFF_supply,CO2,859159.1349354199
107,2025,reg1,SFF_supply,CO2,996108.3888824786
108,2026,reg1,SFF_supply,CO2,958952.4815599923
109,2027,reg1,SFF_supply,CO2,921718.8358888681
110,2028,reg1,SFF_supply,CO2,884405.3773816263
111,2029,reg1,SFF_supply,CO2,919101.8217513034
112,2030,reg1,SFF_supply,CO2,1125999.8873639267
113,2031,reg1,SFF_supply,CO2,1215956.650689096
114,2032,reg1,SFF_supply,CO2,1319933.6311560457
115,2033,reg1,SFF_supply,CO2,1333176.0058544478
116,2034,reg1,SFF_supply,CO2,775425.0492520692
117,2035,reg1,SFF_supply,CO2,766898.7245236136
118,2036,reg1,SFF_supply,CO2,777014.5003086509
119,2037,reg1,SFF_supply,CO2,918287.4222933444
120,2038,reg1,SFF_supply,CO2,972176.6210334172
121,2039,reg1,SFF_supply,CO2,938848.1162712949
122,2040,reg1,SFF_supply,CO2,927629.2648242599
123,2041,reg1,SFF_supply,CO2,822215.8239194904
124,2042,reg1,SFF_supply,CO2,785080.2026069519
125,2043,reg1,SFF_supply,CO2,780803.9232800112
126,2044,reg1,SFF_supply,CO2,757346.4803896443
127,2045,reg1,SFF_supply,CO2,714775.7842809901
128,2046,reg1,SFF_supply,CO2,720272.8614922016
129,2047,reg1,SFF_supply,CO2,725769.9387034132
130,2048,reg1,SFF_supply,CO2,731267.015914625
131,2049,reg1,SFF_supply,CO2,736764.0931258369
132,2050,reg1,SFF_supply,CO2,742261.1703370486
133,2051,reg1,SFF_supply,CO2,742261.1703370486
134,2052,reg1,SFF_supply,CO2,742261.1703370486
135,2053,reg1,SFF_supply,CO2,742261.1703370486
136,2054,reg1,SFF_supply,CO2,742261.1703370486
137,2055,reg1,SFF_supply,CO2,742261.1703370486
138,2056,reg1,SFF_supply,CO2,742261.1703370486
139,2057,reg1,SFF_supply,CO2,742261.1703370486
140,2058,reg1,SFF_supply,CO2,742261.1703370486
141,2059,reg1,SFF_supply,CO2,742261.1703370486
142,2060,reg1,SFF_supply,CO2,742261.1703370486
143,2061,reg1,SFF_supply,CO2,742261.1703370486
144,2062,reg1,SFF_supply,CO2,742261.1703370486
145,2063,reg1,SFF_supply,CO2,742261.1703370486
146,2064,reg1,SFF_supply,CO2,742261.1703370486
