Year,Actualized emission
Y0,907372520.5918913
Y1,817298723.9150187
Y2,783750383.9971007
Y3,748676297.4518554
Y4,713975718.6886249
Y5,679981741.0037568
Y6,630588041.4541392
Y7,585179649.6410687
Y8,544757994.31396
Y9,507525233.2597081
Y10,472509087.2984034
Y11,440135982.1495896
Y12,411378017.51990825
Y13,384032579.3144247
Y14,358879356.4818042
Y15,335344299.64938587
Y16,315314173.68060184
Y17,296268936.48905957
Y18,277116945.8349254
Y19,259846050.14816603
Y20,243437209.46626744
Y21,229765323.15170178
Y22,216269898.3677876
Y23,203803849.709115
Y24,191239269.20430756
Y25,177748398.21918273
Y26,168181570.18212482
Y27,158421487.43001977
Y28,150136998.42995453
Y29,142284927.07327455
Y30,134847943.86170536
Y31,128431936.05632073
Y32,122316129.57744832
Y33,116491551.97852221
Y34,111112427.59522794
Y35,105567813.49335435
Y36,100629782.51033121
Y37,95837888.10507737
Y38,91274179.14769275
Y39,86896230.364236
Y40,82758314.63260567
Y41,78810522.77083795
Y42,75060036.76494075
Y43,71417409.7131134
Y44,67461178.48737986
Y45,63624415.85238038
Y46,60413652.909107625
Y47,57323399.06212535
Y48,54520519.194396526
Y49,51920084.07974913
Y50,49434354.55764633
