Year,Actualized cost
Y0,68121070383.391655
Y1,94954019738.67676
Y2,150951875929.63223
Y3,85790387478.51242
Y4,83249067207.71413
Y5,80891682478.59029
Y6,75131719658.56804
Y7,69541843268.32742
Y8,64924464376.83903
Y9,61678781211.15017
Y10,58530797246.41009
Y11,53304721522.25642
Y12,50253342634.18095
Y13,46979396618.74529
Y14,44577739443.85391
Y15,42528864560.54524
Y16,40495522849.65713
Y17,38302432699.66384
Y18,36369942372.726585
Y19,35861468793.92126
Y20,32985456679.64775
Y21,31508606265.949924
Y22,29533781578.750206
Y23,28601266905.635414
Y24,26620619888.64676
Y25,26537827647.998997
Y26,24889378070.0747
Y27,23058434120.611843
Y28,21824733333.185368
Y29,20629591567.78999
Y30,19447561963.453465
Y31,18258444298.745987
Y32,17093811795.72963
Y33,16302776710.753767
Y34,15450980602.380936
Y35,14705754796.066517
Y36,13785313927.437897
Y37,13110943114.499105
Y38,12448603841.411455
Y39,11843285208.342678
Y40,11381933908.054733
Y41,10786212839.638422
Y42,10275868784.669527
Y43,9747500421.698227
Y44,9259039557.575895
Y45,8764933217.388338
Y46,8294004194.787975
Y47,7858510688.978403
Y48,7478928706.982484
Y49,7116929620.298046
Y50,6817842225.140793
