Year,Actualized emission
Y0,907372520.5918913
Y1,814752458.4928515
Y2,780911736.8825883
Y3,724285783.7772652
Y4,691782952.2715263
Y5,659384958.0013285
Y6,611248190.0040311
Y7,566966756.5971278
Y8,526597223.5516035
Y9,487285174.07997113
Y10,459496264.83305776
Y11,430406396.34153455
Y12,403263651.1089294
Y13,376931604.0029878
Y14,326157118.8355476
Y15,305537254.02058727
Y16,284031579.9774158
Y17,263265199.5737107
Y18,242617164.43491274
Y19,222967425.1115087
Y20,205215128.61566934
Y21,187955009.17491505
Y22,172857651.8307176
Y23,159135578.33527526
Y24,146426659.58463016
Y25,134440317.94697005
Y26,127507614.21904853
Y27,120912213.34460534
Y28,114675407.5773493
Y29,108766044.18223819
Y30,103143185.42798872
Y31,98229630.29791537
Y32,93556335.74880566
Y33,89103710.0692835
Y34,84881668.02727972
Y35,80813906.39670345
Y36,76980222.40972918
Y37,73314497.5330754
Y38,69823330.98388134
Y39,66498410.46083937
Y40,63331819.486513674
Y41,60316018.55858445
Y42,57443198.223151654
Y43,54730328.94543042
Y44,52092359.46203818
Y45,49627197.52450154
Y46,47243683.73740748
Y47,44989737.658661455
Y48,42840456.25559395
Y49,40784475.176973246
Y50,38920572.51823034
