Year,Actualized cost
Y0,68148060103.0502
Y1,94974693458.7047
Y2,158993382594.91537
Y3,91125543100.26222
Y4,88182723736.16891
Y5,85496865074.51042
Y6,80486635436.87747
Y7,73683111376.99776
Y8,69067753544.41606
Y9,64399525794.16742
Y10,60156996277.515335
Y11,56400427765.5523
Y12,59402969408.7177
Y13,48918542449.83592
Y14,44334772925.93518
Y15,42443931978.97121
Y16,41009641038.898056
Y17,39215270569.62556
Y18,37439939924.44629
Y19,36971673712.29404
Y20,33922860884.405907
Y21,32096600900.135857
Y22,30334511994.949055
Y23,28948089723.338047
Y24,27000646281.653557
Y25,26688344781.718594
Y26,25383993257.63593
Y27,23984623497.776474
Y28,22221124189.936943
Y29,20989226557.423115
Y30,19826622904.18686
Y31,18834382735.045395
Y32,17428226928.480633
Y33,16539603234.776735
Y34,15572103851.407114
Y35,14718394637.605835
Y36,14019363585.156939
Y37,13337887518.834894
Y38,12690759158.76282
Y39,12058082380.72897
Y40,11581470680.543913
Y41,10996206692.591528
Y42,10607077698.370033
Y43,9915742213.210304
Y44,9423462511.268253
Y45,8901533588.382496
Y46,8458007702.843628
Y47,8024445936.801789
Y48,7622451735.641059
Y49,7256420060.372637
Y50,6957120267.944218
