Year,Actualized cost
Y0,68121070383.16155
Y1,94954019791.21613
Y2,152014964683.8385
Y3,86772063527.56528
Y4,84160681716.33199
Y5,81732919558.42151
Y6,75906861139.99979
Y7,70255252936.32129
Y8,65596812325.4963
Y9,62316700982.57722
Y10,59337429972.37301
Y11,53825346365.66716
Y12,50617417458.422264
Y13,47417116981.44961
Y14,45688525554.0909
Y15,43770870468.98855
Y16,42244455785.007355
Y17,39793109175.105865
Y18,37593475980.21923
Y19,37118790177.68421
Y20,33479068424.23964
Y21,32383513707.312977
Y22,30664326720.653328
Y23,28944764211.34467
Y24,27077904427.33306
Y25,26215694800.876606
Y26,24650318346.09026
Y27,23014152885.886246
Y28,21634789395.610764
Y29,20491948601.018646
Y30,19417700632.58887
Y31,18217234122.71933
Y32,17052965285.76372
Y33,16473388227.411404
Y34,15530145339.836475
Y35,14652921699.213198
Y36,13706886535.732893
Y37,13034935915.977816
Y38,12394316450.478651
Y39,11773871104.693186
Y40,11374304693.046494
Y41,10801355321.021338
Y42,10246861060.063982
Y43,9709313482.10542
Y44,9235734385.32739
Y45,8755230393.694014
Y46,8251126450.347316
Y47,7836266875.901126
Y48,7470713881.683826
Y49,7168891188.848678
Y50,6874532632.508127
