Year,Actualized emission
Y0,907372520.5238696
Y1,814752458.7749863
Y2,780911736.6837298
Y3,743736844.7906084
Y4,709465734.7206582
Y5,675550754.5896455
Y6,625766367.7736467
Y7,581001911.9185932
Y8,540510395.171678
Y9,503470026.86051047
Y10,468339837.7261207
Y11,435379303.72716165
Y12,406658896.19898236
Y13,379322290.4276221
Y14,353876874.1045276
Y15,328352230.0893821
Y16,304224151.05469704
Y17,282797985.295338
Y18,261366156.97519103
Y19,241428778.19014156
Y20,223892639.25400594
Y21,205400602.20247915
Y22,190985866.45708758
Y23,177845679.38557193
Y24,164747779.80505475
Y25,152730618.43727714
Y26,144761572.79154697
Y27,137268334.5683669
Y28,130283377.71624371
Y29,123790592.23705819
Y30,117630693.74445893
Y31,112027298.11991267
Y32,106396466.0365495
Y33,101185155.52270405
Y34,96489411.89910837
Y35,91779905.14968866
Y36,87497808.09171022
Y37,83331245.80162868
Y38,79363091.23964636
Y39,75583870.1145468
Y40,71984638.20433025
Y41,68564953.77023226
Y42,65288534.83480869
Y43,62192745.30926094
Y44,59233820.272574805
Y45,57054582.461816356
Y46,54577069.5853164
Y47,51713655.977365784
Y48,49351646.255683534
Y49,47453379.15772179
Y50,45432129.314445086
