Year,Actualized emission
Y0,907372520.5238695
Y1,817298724.1944054
Y2,783750383.8513588
Y3,748676297.6585268
Y4,713975718.6993507
Y5,679981741.0439842
Y6,630588041.4068272
Y7,585179649.6291274
Y8,544757994.2263377
Y9,507532678.05517775
Y10,472516177.4338545
Y11,440145004.88748866
Y12,411384086.20870525
Y13,384036523.9274955
Y14,358882326.858197
Y15,335423994.6433136
Y16,312806345.47207296
Y17,291025857.4459423
Y18,269763235.63548
Y19,250943057.6021984
Y20,232669968.4463147
Y21,217763238.02781153
Y22,202949213.1072158
Y23,189437183.62719768
Y24,171321066.33840123
Y25,155388573.73890677
Y26,147304660.03304964
Y27,139723728.63872957
Y28,132517752.31515276
Y29,125661336.07281321
Y30,119108376.46847592
Y31,113436549.01759611
Y32,108034808.58818677
Y33,102890293.8935112
Y34,98175150.5857772
Y35,93184239.38189922
Y36,88835812.87006675
Y37,84605536.06673023
Y38,80576701.01593354
Y39,76739715.25327004
Y40,73085443.09835242
Y41,69566382.87371744
Y42,66191925.66311837
Y43,63043923.6737687
Y44,59469202.87297219
Y45,56013442.440630004
Y46,51453570.37525975
Y47,48850800.01217031
Y48,46554184.421275534
Y49,44431679.05577544
Y50,42542615.614321485
