Year,Actualized cost
Y0,68121070383.16155
Y1,94954019791.21613
Y2,152014964683.8385
Y3,86772063527.56526
Y4,84160681716.33199
Y5,81732919558.4215
Y6,75906861139.99979
Y7,70255252936.32126
Y8,65596799743.577866
Y9,62316703448.24597
Y10,59337404918.84233
Y11,53825352872.33514
Y12,50617437948.62393
Y13,47417119267.59211
Y14,45581026985.93563
Y15,44195597989.25265
Y16,42146856175.089325
Y17,40404998598.61182
Y18,37733458661.6011
Y19,38130483097.084724
Y20,33964037942.37594
Y21,32234681628.918747
Y22,30235539782.761627
Y23,28598769002.001312
Y24,26599739467.29675
Y25,25689813038.51489
Y26,24222865118.648056
Y27,22484276312.36173
Y28,21319384255.728607
Y29,20169275490.30678
Y30,19088626011.292225
Y31,17890921614.776646
Y32,16748185196.050163
Y33,16095712402.605072
Y34,15097205805.902271
Y35,14418956034.62617
Y36,13486144429.454897
Y37,12824705338.570204
Y38,12194095964.03531
Y39,11585025961.733196
Y40,11211909078.33312
Y41,10612278438.516287
Y42,10088404431.2
Y43,9553210073.904844
Y44,9085974930.208208
Y45,8573650717.315601
Y46,8091460818.311818
Y47,7658583194.661113
Y48,7321683283.87414
Y49,7030705524.264061
Y50,6750369845.315056
