Year,Actualized cost
Y0,68121070383.16155
Y1,94954019791.21613
Y2,150951875898.8308
Y3,85790387526.1537
Y4,83249067214.8744
Y5,80891682498.41347
Y6,75131719689.13718
Y7,69541843176.17043
Y8,64923494112.72015
Y9,61678981199.86231
Y10,58528485313.393906
Y11,53305211569.3806
Y12,50255113168.11976
Y13,46979645155.25579
Y14,45194187699.40681
Y15,43563296075.8178
Y16,41887066357.07684
Y17,39431146896.31149
Y18,37087121389.462524
Y19,37426152004.537834
Y20,33744814177.911953
Y21,32282691944.923393
Y22,30462522846.577923
Y23,28377159131.677116
Y24,26502643814.63432
Y25,25575857789.1315
Y26,24088936333.33182
Y27,22334200467.2436
Y28,21185187085.65567
Y29,20046130197.925636
Y30,18964557531.47006
Y31,17785243759.034416
Y32,16641545891.778088
Y33,15997502493.98122
Y34,14999073989.623337
Y35,14290666045.076555
Y36,13391613717.576088
Y37,12734920891.69638
Y38,12114075792.57354
Y39,11522884804.340172
Y40,11145202005.157715
Y41,10554633767.201933
Y42,10029519432.186638
Y43,9489852949.482473
Y44,9024002127.758995
Y45,8515953376.69303
Y46,8038585311.323557
Y47,7603986578.193307
Y48,7263373383.991303
Y49,6966802850.38643
Y50,6682475312.879952
