Year,Actualized emission
Y0,907372520.5238696
Y1,814752458.7749863
Y2,780911736.6837298
Y3,743736844.7906084
Y4,709465734.7206582
Y5,675550754.5896455
Y6,625766367.7736467
Y7,581001911.9185932
Y8,540510395.171678
Y9,503470026.86051047
Y10,468164425.7224
Y11,435609744.2633331
Y12,408018044.03046453
Y13,380812147.405862
Y14,350601287.0366197
Y15,325120492.1178051
Y16,294781146.17552674
Y17,266300109.06783614
Y18,241796607.48223016
Y19,219679348.1896245
Y20,200588264.0725198
Y21,182035992.40626055
Y22,166176154.38339204
Y23,151935290.35703406
Y24,138575252.9794092
Y25,126196306.88278513
Y26,119727582.5697459
Y27,113588496.58097483
Y28,107772113.1458556
Y29,102252100.70323992
Y30,97013204.03563145
Y31,92395406.81539093
Y32,87995625.53846754
Y33,83774755.99582045
Y34,79839850.41900803
Y35,76006022.27867888
Y36,72400719.80280848
Y37,68953066.47886522
Y38,65669587.12272878
Y39,62542437.62224427
Y40,59564226.306899294
Y41,56724111.731706224
Y42,54001272.61382515
Y43,51431613.56328104
Y44,48982981.970173985
Y45,46682178.7246353
Y46,44433455.655293345
Y47,42263887.24184926
Y48,40188419.88588802
Y49,38332143.02255579
Y50,36602225.56362796
