Scenario,Year,Actualized emission
scenario1,Y0,907372520.5238696
scenario1,Y1,813370939.6920801
scenario1,Y2,774868412.5187609
scenario1,Y3,746138502.3404968
scenario1,Y4,718840246.1856334
scenario1,Y5,692403793.9851674
scenario1,Y6,646831960.7707181
scenario1,Y7,606519515.2505655
scenario1,Y8,568756069.2041477
scenario1,Y9,534001417.4933356
scenario1,Y10,500923131.4292204
scenario1,Y11,468521349.2401377
scenario1,Y12,440313677.09729046
scenario1,Y13,414453638.4144555
scenario1,Y14,390563465.5116096
scenario1,Y15,368214070.4409122
scenario1,Y16,344123651.6142514
scenario1,Y17,324584493.26166606
scenario1,Y18,306158232.3643238
scenario1,Y19,288932508.99125445
scenario1,Y20,272280796.43714446
scenario1,Y21,259411786.6147512
scenario1,Y22,246698780.87059835
scenario1,Y23,234829338.2074978
scenario1,Y24,223037989.1774428
scenario1,Y25,212150218.5830312
scenario1,Y26,201935471.42836475
scenario1,Y27,192456332.01610565
scenario1,Y28,183291744.77724344
scenario1,Y29,174563566.45451757
scenario1,Y30,166214189.1885364
scenario1,Y31,158299227.79860607
scenario1,Y32,150709839.15074807
scenario1,Y33,143533180.1435696
scenario1,Y34,136832809.79154292
scenario1,Y35,130134752.7280335
scenario1,Y36,123989357.64480688
scenario1,Y37,118085102.51886372
scenario1,Y38,112462002.3989178
scenario1,Y39,107106668.95135029
scenario1,Y40,102006351.38223836
scenario1,Y41,97148906.07832225
scenario1,Y42,92522767.69364025
scenario1,Y43,88116921.61299069
scenario1,Y44,83930176.7444004
scenario1,Y45,80004634.7198864
scenario1,Y46,76063973.02958563
scenario1,Y47,72327745.89228322
scenario1,Y48,68890883.07177456
scenario1,Y49,65656275.67761591
scenario1,Y50,62662481.4515131
scenario2,Y0,907372520.5238696
scenario2,Y1,817298724.1944054
scenario2,Y2,783750383.8513588
scenario2,Y3,748676297.6585268
scenario2,Y4,713975718.6993507
scenario2,Y5,679981741.043984
scenario2,Y6,630588041.4068272
scenario2,Y7,585179649.6291274
scenario2,Y8,544757994.2263377
scenario2,Y9,507551498.7925941
scenario2,Y10,472534101.94567966
scenario2,Y11,440032868.9645442
scenario2,Y12,411276787.31860113
scenario2,Y13,383925016.18984747
scenario2,Y14,358713255.1944353
scenario2,Y15,335268027.26738626
scenario2,Y16,312806068.17940515
scenario2,Y17,291025593.13511384
scenario2,Y18,269762983.69883865
scenario2,Y19,251038185.5813821
scenario2,Y20,232669817.05477437
scenario2,Y21,217763093.7241294
scenario2,Y22,202949075.5596129
scenario2,Y23,189442654.17708784
scenario2,Y24,175937352.08710337
scenario2,Y25,163308856.11790827
scenario2,Y26,154813193.48842934
scenario2,Y27,146988612.346465
scenario2,Y28,139411543.64179677
scenario2,Y29,132151245.44347753
scenario2,Y30,125256240.97983392
scenario2,Y31,119293483.3929924
scenario2,Y32,113612841.3266594
scenario2,Y33,108202706.02538992
scenario2,Y34,103167119.9215642
scenario2,Y35,98049860.30113208
scenario2,Y36,93469565.72758009
scenario2,Y37,89018634.02626675
scenario2,Y38,84779651.45358738
scenario2,Y39,80742525.19389275
scenario2,Y40,76897643.0418026
scenario2,Y41,73212168.47355583
scenario2,Y42,69744234.86852072
scenario2,Y43,66427075.29796143
scenario2,Y44,63279611.96466334
scenario2,Y45,60343097.952819854
scenario2,Y46,57271543.71925594
scenario2,Y47,54307377.50716017
scenario2,Y48,51819559.53553517
scenario2,Y49,49508387.77784122
scenario2,Y50,47467733.77643719
scenario3,Y0,907372520.5238696
scenario3,Y1,817298724.1944054
scenario3,Y2,783750383.8513588
scenario3,Y3,748676297.6585268
scenario3,Y4,713975718.6993507
scenario3,Y5,679981741.043984
scenario3,Y6,630588041.4068273
scenario3,Y7,585165719.142136
scenario3,Y8,544745031.1383843
scenario3,Y9,507525233.11409503
scenario3,Y10,472509087.01377577
scenario3,Y11,439959453.1320216
scenario3,Y12,411209103.1607735
scenario3,Y13,383871769.8325157
scenario3,Y14,358649354.25442976
scenario3,Y15,335208163.9890937
scenario3,Y16,312805961.7491465
scenario3,Y17,291025491.6875349
scenario3,Y18,269661901.0167683
scenario3,Y19,250607218.92026973
scenario3,Y20,232395057.1763396
scenario3,Y21,217762824.3795613
scenario3,Y22,202866123.69596708
scenario3,Y23,189294308.220164
scenario3,Y24,175703479.14502552
scenario3,Y25,163047204.43433258
scenario3,Y26,154491447.8895507
scenario3,Y27,146570367.109471
scenario3,Y28,138870469.8842675
scenario3,Y29,131902357.76479957
scenario3,Y30,125199326.89099644
scenario3,Y31,119242930.13278164
scenario3,Y32,113564695.36455394
scenario3,Y33,108156852.72814658
scenario3,Y34,102966066.23798168
scenario3,Y35,97518258.97701582
scenario3,Y36,92963841.72598805
scenario3,Y37,88536992.1199886
scenario3,Y38,84320944.87617964
scenario3,Y39,80305661.78683774
scenario3,Y40,76481582.65413111
scenario3,Y41,72829112.1305718
scenario3,Y42,69366855.83208404
scenario3,Y43,66077092.6109673
scenario3,Y44,62931408.522464
scenario3,Y45,60050856.51011904
scenario3,Y46,57012820.54295968
scenario3,Y47,54190098.29472363
scenario3,Y48,51698953.27373389
scenario3,Y49,49389422.3337679
scenario3,Y50,47300404.92025345
scenario4,Y0,907372520.5238696
scenario4,Y1,814892630.2624779
scenario4,Y2,781045233.3384839
scenario4,Y3,743736844.7906084
scenario4,Y4,709465734.7206582
scenario4,Y5,675545943.9325395
scenario4,Y6,625780096.2771771
scenario4,Y7,581020118.2162141
scenario4,Y8,540515428.8070972
scenario4,Y9,503489499.1103022
scenario4,Y10,468358391.1704047
scenario4,Y11,435396973.6740988
scenario4,Y12,406671403.1941858
scenario4,Y13,379325438.85444456
scenario4,Y14,353876874.10452753
scenario4,Y15,328352230.0893821
scenario4,Y16,304344443.6710695
scenario4,Y17,282856363.3137182
scenario4,Y18,261845410.8863845
scenario4,Y19,242860432.7733276
scenario4,Y20,224938789.0022505
scenario4,Y21,210002490.71419588
scenario4,Y22,195302109.69005933
scenario4,Y23,182032677.45236608
scenario4,Y24,169033575.87923864
scenario4,Y25,156536385.27539006
scenario4,Y26,147545784.3715649
scenario4,Y27,139987132.3968717
scenario4,Y28,132689216.8792682
scenario4,Y29,126066679.56425118
scenario4,Y30,119834983.82587077
scenario4,Y31,114126856.35961682
scenario4,Y32,108384743.33589692
scenario4,Y33,103029693.36305678
scenario4,Y34,98238550.22432852
scenario4,Y35,93467572.12026328
scenario4,Y36,89121011.43948114
scenario4,Y37,84877153.75188679
scenario4,Y38,80835384.52560647
scenario4,Y39,76967365.63169716
scenario4,Y40,73659808.12436134
