Scenario,Year,Actualized cost
scenario1,Y0,65479425752.5877
scenario1,Y1,92595176978.97496
scenario1,Y2,142905413628.6332
scenario1,Y3,78534705408.61665
scenario1,Y4,76550302466.65584
scenario1,Y5,77396638880.12979
scenario1,Y6,72880569170.82137
scenario1,Y7,69180252878.62656
scenario1,Y8,65299426511.57802
scenario1,Y9,62040845434.5109
scenario1,Y10,59842077903.086845
scenario1,Y11,54382266515.22605
scenario1,Y12,49763845888.40211
scenario1,Y13,46566924562.90178
scenario1,Y14,44353133286.74748
scenario1,Y15,43202095937.44902
scenario1,Y16,41602247276.05575
scenario1,Y17,39489885668.45898
scenario1,Y18,37070776189.23461
scenario1,Y19,35736016728.98365
scenario1,Y20,33237651678.931797
scenario1,Y21,31794671173.503063
scenario1,Y22,29687372834.212955
scenario1,Y23,28271863992.052067
scenario1,Y24,26428623402.56713
scenario1,Y25,25837251722.650536
scenario1,Y26,24944640694.95832
scenario1,Y27,22711055129.32716
scenario1,Y28,21753638681.735435
scenario1,Y29,20470115112.1092
scenario1,Y30,20152581111.654434
scenario1,Y31,18582594740.566074
scenario1,Y32,17626778106.001953
scenario1,Y33,16684872412.631563
scenario1,Y34,16056741321.352482
scenario1,Y35,15360351387.66714
scenario1,Y36,14486846573.051134
scenario1,Y37,13615713547.346174
scenario1,Y38,12960539129.58272
scenario1,Y39,12328557077.20522
scenario1,Y40,11863513674.510015
scenario1,Y41,11236153811.979132
scenario1,Y42,10592837061.15359
scenario1,Y43,10061616643.595064
scenario1,Y44,9580101251.976755
scenario1,Y45,9107011923.870377
scenario1,Y46,8650430030.509382
scenario1,Y47,8212030817.577737
scenario1,Y48,7811390890.4814415
scenario1,Y49,7472688953.090673
scenario1,Y50,7154104936.13575
scenario2,Y0,68127314544.86004
scenario2,Y1,94955765638.47258
scenario2,Y2,150953061718.3533
scenario2,Y3,85792445577.5424
scenario2,Y4,83251457037.69043
scenario2,Y5,80894050666.49217
scenario2,Y6,75147971351.13588
scenario2,Y7,69544840223.6727
scenario2,Y8,64922784346.67846
scenario2,Y9,61680955912.44573
scenario2,Y10,58673258431.47987
scenario2,Y11,53290005212.51864
scenario2,Y12,50162165915.75628
scenario2,Y13,46969020650.918
scenario2,Y14,45250607317.193245
scenario2,Y15,43443243745.67213
scenario2,Y16,41891193032.7144
scenario2,Y17,39485403044.40183
scenario2,Y18,36968614406.57028
scenario2,Y19,36860452692.28547
scenario2,Y20,33328017921.12436
scenario2,Y21,32024488768.46093
scenario2,Y22,30319810168.63985
scenario2,Y23,28600296037.415497
scenario2,Y24,26764950602.138428
scenario2,Y25,25879604397.20826
scenario2,Y26,24300693572.89897
scenario2,Y27,22661258615.12697
scenario2,Y28,21563166533.80131
scenario2,Y29,20363863290.865185
scenario2,Y30,19204019979.28372
scenario2,Y31,18006390609.937767
scenario2,Y32,16851268171.879507
scenario2,Y33,16176627122.353657
scenario2,Y34,15147716795.273245
scenario2,Y35,14511203303.901676
scenario2,Y36,13584443334.508596
scenario2,Y37,12914357100.35406
scenario2,Y38,12289997243.257883
scenario2,Y39,11679962449.599049
scenario2,Y40,11283910519.134216
scenario2,Y41,10701715475.200493
scenario2,Y42,10165610097.627571
scenario2,Y43,9613247135.081509
scenario2,Y44,9161720650.126282
scenario2,Y45,8672093632.545546
scenario2,Y46,8166128401.314008
scenario2,Y47,7743166275.488692
scenario2,Y48,7397659940.376865
scenario2,Y49,7093966462.551434
scenario2,Y50,6803020669.142264
scenario3,Y0,68127314544.86004
scenario3,Y1,94955765638.47258
scenario3,Y2,150953061718.3533
scenario3,Y3,90542329247.38544
scenario3,Y4,87786283866.10176
scenario3,Y5,85218300420.1718
scenario3,Y6,79161949689.45657
scenario3,Y7,73266323231.9856
scenario3,Y8,68387335337.53584
scenario3,Y9,64906060154.636566
scenario3,Y10,61729186546.55573
scenario3,Y11,56077166186.5629
scenario3,Y12,52734340000.62667
scenario3,Y13,49400679351.364655
scenario3,Y14,47547412211.245285
scenario3,Y15,45522246043.73425
scenario3,Y16,43852987506.97153
scenario3,Y17,41265463251.69323
scenario3,Y18,38961900119.33951
scenario3,Y19,38353932684.35239
scenario3,Y20,34616641107.68781
scenario3,Y21,33423802268.57219
scenario3,Y22,31613955054.18749
scenario3,Y23,29810002386.51228
scenario3,Y24,27864630907.513947
scenario3,Y25,26927171588.780994
scenario3,Y26,25325244934.49523
scenario3,Y27,23654395914.007736
scenario3,Y28,22242120693.148365
scenario3,Y29,21068049977.244614
scenario3,Y30,19973191098.212498
scenario3,Y31,18739229190.783894
scenario3,Y32,17549209677.447254
scenario3,Y33,16946356109.520405
scenario3,Y34,15980545989.63698
scenario3,Y35,15080786296.733862
scenario3,Y36,14119639346.997942
scenario3,Y37,13423695861.128153
scenario3,Y38,12764062777.89336
scenario3,Y39,12126094112.403742
scenario3,Y40,11710181067.370398
scenario3,Y41,11120831972.005926
scenario3,Y42,10551244573.835049
scenario3,Y43,9999459770.935707
scenario3,Y44,9511464437.11365
scenario3,Y45,9018064625.09727
scenario3,Y46,8501386059.035297
scenario3,Y47,8074796057.753237
scenario3,Y48,7697243509.419358
scenario3,Y49,7384831053.035573
scenario3,Y50,7080470130.256194
scenario4,Y0,68153751039.27402
scenario4,Y1,94975812253.5124
scenario4,Y2,152750331045.69165
scenario4,Y3,99872460136.3504
scenario4,Y4,96591451884.72829
scenario4,Y5,93751350055.4508
scenario4,Y6,86691663251.8949
scenario4,Y7,79964422689.2671
scenario4,Y8,74872774427.54587
scenario4,Y9,71353829049.66553
scenario4,Y10,68240121503.042206
scenario4,Y11,61639082767.37227
scenario4,Y12,57722325041.025154
scenario4,Y13,54690988982.19052
scenario4,Y14,52607548660.78134
scenario4,Y15,49448069088.24049
scenario4,Y16,47547412144.65016
scenario4,Y17,44522728673.878525
scenario4,Y18,42446659357.09415
scenario4,Y19,41010598784.70948
scenario4,Y20,37656845594.8888
scenario4,Y21,36008062150.65396
scenario4,Y22,33875228353.252213
scenario4,Y23,31555862777.425262
scenario4,Y24,30314852941.604485
scenario4,Y25,28716188011.568104
scenario4,Y26,27053738744.664616
scenario4,Y27,25606578201.69229
scenario4,Y28,23769415553.682854
scenario4,Y29,22494973397.7302
scenario4,Y30,21398793180.57059
