Year,Actualized emission
Y0,907372520.5918913
Y1,817298723.9150187
Y2,783750383.997101
Y3,748676297.4518553
Y4,713975718.6886249
Y5,679981741.0037568
Y6,630588041.4541392
Y7,585179649.6410687
Y8,544757994.31396
Y9,507532564.429367
Y10,472516069.3647453
Y11,439990332.5285364
Y12,411236105.45830643
Y13,383895681.3850656
Y14,358680067.71961874
Y15,335143042.127224
Y16,312953492.797022
Y17,291243984.63601387
Y18,270069273.7139712
Y19,251423339.35606888
Y20,233128586.4596627
Y21,218290300.95656994
Y22,203537298.65111378
Y23,190079920.13708583
Y24,176626479.31197974
Y25,164049156.49004593
Y26,155513377.56928566
Y27,147645141.6517428
Y28,140030120.9240445
Y29,132736165.05135566
Y30,125810042.11510216
Y31,119820913.04562882
Y32,114115155.28155126
Y33,108681100.26814404
Y34,103619030.56131358
Y35,98483747.85277195
Y36,93882820.6613921
Y37,89412210.15370676
Y38,85154485.8606731
Y39,81099510.34349819
Y40,77237628.89856969
Y41,73535964.52761972
Y42,70052612.0628673
Y43,66721153.988948494
Y44,63559594.08015156
Y45,60600011.64185852
Y46,57532388.74211411
Y47,54546458.21334246
Y48,52040353.51447278
Y49,49712303.4387812
Y50,47640263.410627246
