Year,Actualized cost
Y0,68127314545.09687
Y1,94955765585.73343
Y2,150953061749.6096
Y3,85792445529.24994
Y4,83251457030.97275
Y5,80894050646.67896
Y6,75147971320.08232
Y7,69544840316.33307
Y8,64925684015.453156
Y9,61680460846.57504
Y10,58700797845.25383
Y11,53286164839.88775
Y12,50143073276.64422
Y13,46962518271.85781
Y14,45250892836.05619
Y15,43327894794.51954
Y16,41863652341.36297
Y17,39445164423.483734
Y18,36934308405.54746
Y19,36828445165.62079
Y20,33300329093.373
Y21,32000440295.574512
Y22,30299786578.79742
Y23,28585904302.08986
Y24,26761971842.68406
Y25,25900121371.38347
Y26,24325551800.343742
Y27,22681288186.17637
Y28,21580009978.772854
Y29,20379877709.76228
Y30,19217318096.496464
Y31,18020860728.597866
Y32,16865049238.93507
Y33,16189751920.5922
Y34,15158691932.037546
Y35,14527527654.257858
Y36,13596262640.094517
Y37,12925154926.310862
Y38,12300545632.496029
Y39,11689756395.887758
Y40,11286114107.350933
Y41,10709082364.468014
Y42,10171497578.401094
Y43,9619918970.014332
Y44,9169481422.321905
Y45,8677180755.162481
Y46,8173964195.887583
Y47,7749572219.661855
Y48,7403082428.983659
Y49,7096795920.97264
Y50,6805383914.863636
