Year,Actualized emission
Y0,907372520.5918913
Y1,814779307.4860123
Y2,780937307.3522654
Y3,688112365.0588503
Y4,657287914.9806682
Y5,628183480.388974
Y6,582987819.011301
Y7,540995888.361821
Y8,501724433.9609674
Y9,462432095.7321764
Y10,432754918.2346269
Y11,403280706.152462
Y12,376757177.12232375
Y13,351712555.3297576
Y14,328709014.0845326
Y15,307182941.0414332
Y16,285706302.53614163
Y17,264513461.7152594
Y18,242287188.1233232
Y19,222974819.70670828
Y20,204649280.10121888
Y21,189829395.26185957
Y22,175164473.7596084
Y23,161580837.03424674
Y24,148583708.16455868
Y25,136244685.1486008
Y26,128553312.64764014
Y27,121887152.30501503
Y28,116504390.25597747
Y29,110519542.99808829
Y30,104757969.30131379
Y31,99765646.83171162
Y32,95007310.74379605
Y33,90403059.05125028
Y34,86160599.40611991
Y35,81796055.21168816
Y36,77887252.99515803
Y37,74161696.15430768
Y38,70630186.81362635
Y39,67261116.95925987
Y40,63950944.99177311
Y41,60936471.18705497
Y42,58043709.73768725
Y43,55258346.22714198
Y44,52646817.381586336
Y45,50256134.10955502
Y46,47710307.81630575
Y47,45538050.20559383
Y48,43683559.226415746
Y49,41977142.44599718
Y50,40441173.71227129
