Year,Actualized cost
Y0,68154996148.65694
Y1,107437723904.85852
Y2,152996726722.69205
Y3,112270941881.46571
Y4,108285301514.41747
Y5,104876719915.69617
Y6,99211280590.40065
Y7,89441958307.98949
Y8,84283259657.94283
Y9,79076291021.13544
Y10,75538029358.7857
Y11,68827055603.873
Y12,64266084609.21442
Y13,59845045654.983
Y14,56893597635.7639
Y15,55011148812.57864
Y16,52324755476.42906
Y17,49864987601.654305
Y18,47410231334.739845
Y19,44414591835.08437
Y20,41098162705.0482
Y21,39125285615.14998
Y22,37087983333.558876
Y23,34026506859.22479
Y24,33604438132.443153
Y25,30385477657.83528
Y26,31722551866.458057
Y27,27444154357.85503
Y28,25611371203.56085
Y29,24219762052.367226
Y30,22876854589.361626
Y31,21741970595.83368
Y32,20192914708.108295
Y33,19457921142.55687
Y34,18185177442.84571
Y35,17372926793.24057
Y36,16195271201.544834
Y37,15424732014.214186
Y38,14681871543.48536
Y39,14059154644.599028
Y40,13558126663.775331
Y41,12866860457.275856
Y42,12223454914.385532
Y43,11540402554.330664
Y44,10835777982.79766
Y45,10278187346.085188
Y46,9735395621.700928
Y47,9243320206.320768
Y48,8814868633.878193
Y49,8468682815.516587
Y50,8145228922.334762
