,Datetime,Region,Technology,Emission,Value
0,2020,reg1,Oil_supply,CO2,38300580.562091954
1,2021,reg1,Oil_supply,CO2,38901142.58803843
2,2022,reg1,Oil_supply,CO2,41754627.647854224
3,2023,reg1,Oil_supply,CO2,40083395.320754625
4,2024,reg1,Oil_supply,CO2,40665086.027524374
5,2025,reg1,Oil_supply,CO2,41240486.29456851
6,2026,reg1,Oil_supply,CO2,40092899.37829078
7,2027,reg1,Oil_supply,CO2,38926577.119241536
8,2028,reg1,Oil_supply,CO2,37741721.80841345
9,2029,reg1,Oil_supply,CO2,36538544.699670136
10,2030,reg1,Oil_supply,CO2,35317266.14752456
11,2031,reg1,Oil_supply,CO2,34973548.8635022
12,2032,reg1,Oil_supply,CO2,34632580.816739105
13,2033,reg1,Oil_supply,CO2,34372099.50417517
14,2034,reg1,Oil_supply,CO2,34160502.71553055
15,2035,reg1,Oil_supply,CO2,33805190.96762263
16,2036,reg1,Oil_supply,CO2,32688091.8359985
17,2037,reg1,Oil_supply,CO2,31639611.61498432
18,2038,reg1,Oil_supply,CO2,28665352.34164594
19,2039,reg1,Oil_supply,CO2,26861076.305277307
20,2040,reg1,Oil_supply,CO2,25918190.895680234
21,2041,reg1,Oil_supply,CO2,24990545.658993945
22,2042,reg1,Oil_supply,CO2,24062900.42230765
23,2043,reg1,Oil_supply,CO2,23135255.185621373
24,2044,reg1,Oil_supply,CO2,22207609.94893514
25,2045,reg1,Oil_supply,CO2,21279964.712248884
26,2046,reg1,Oil_supply,CO2,21279964.71224885
27,2047,reg1,Oil_supply,CO2,21279964.71224885
28,2048,reg1,Oil_supply,CO2,21279964.71224885
29,2049,reg1,Oil_supply,CO2,21174917.361333843
30,2050,reg1,Oil_supply,CO2,21148655.5236051
31,2051,reg1,Oil_supply,CO2,21148655.5236051
32,2052,reg1,Oil_supply,CO2,21249446.404374126
33,2053,reg1,Oil_supply,CO2,21249514.683728673
34,2054,reg1,Oil_supply,CO2,21279964.712248858
35,2055,reg1,Oil_supply,CO2,21279964.71224885
36,2056,reg1,Oil_supply,CO2,21279964.71224885
37,2057,reg1,Oil_supply,CO2,21279964.71224885
38,2058,reg1,Oil_supply,CO2,21279964.71224885
39,2059,reg1,Oil_supply,CO2,21279964.71224885
40,2060,reg1,Oil_supply,CO2,21279964.71224885
41,2061,reg1,Oil_supply,CO2,21279964.71224885
42,2062,reg1,Oil_supply,CO2,21279964.71224885
43,2063,reg1,Oil_supply,CO2,21279964.71224885
44,2064,reg1,Oil_supply,CO2,21279067.48837428
45,2065,reg1,Oil_supply,CO2,21279964.71224885
46,2066,reg1,Oil_supply,CO2,21259011.83242722
47,2067,reg1,Oil_supply,CO2,21148655.523605105
48,2068,reg1,Oil_supply,CO2,21148655.523605105
49,2069,reg1,Oil_supply,CO2,21148655.5236051
50,2070,reg1,Oil_supply,CO2,21148655.5236051
51,2020,reg1,NG_supply,CO2,83320299.46976724
52,2021,reg1,NG_supply,CO2,72913342.52392145
53,2022,reg1,NG_supply,CO2,67848695.78325821
54,2023,reg1,NG_supply,CO2,70703714.55401292
55,2024,reg1,NG_supply,CO2,69487764.54643103
56,2025,reg1,NG_supply,CO2,67946411.31594971
57,2026,reg1,NG_supply,CO2,66110314.457921095
58,2027,reg1,NG_supply,CO2,64739871.29123091
59,2028,reg1,NG_supply,CO2,63761565.497203186
60,2029,reg1,NG_supply,CO2,63192743.92092252
61,2030,reg1,NG_supply,CO2,62532136.06708251
62,2031,reg1,NG_supply,CO2,60695122.74641652
63,2032,reg1,NG_supply,CO2,59855634.08446311
64,2033,reg1,NG_supply,CO2,58116057.08726111
65,2034,reg1,NG_supply,CO2,56727323.581367105
66,2035,reg1,NG_supply,CO2,55537009.44958527
67,2036,reg1,NG_supply,CO2,56233989.75939892
68,2037,reg1,NG_supply,CO2,56650215.54561532
69,2038,reg1,NG_supply,CO2,57021457.09241361
70,2039,reg1,NG_supply,CO2,57462377.33082242
71,2040,reg1,NG_supply,CO2,57775151.00061801
72,2041,reg1,NG_supply,CO2,58886628.86438442
73,2042,reg1,NG_supply,CO2,59592204.274214275
74,2043,reg1,NG_supply,CO2,61201962.8729888
75,2044,reg1,NG_supply,CO2,61252047.96793576
76,2045,reg1,NG_supply,CO2,61784953.03386686
77,2046,reg1,NG_supply,CO2,61452443.699328676
78,2047,reg1,NG_supply,CO2,61232990.16955409
79,2048,reg1,NG_supply,CO2,60936710.052796856
80,2049,reg1,NG_supply,CO2,60852133.90426707
81,2050,reg1,NG_supply,CO2,60823055.96175007
82,2051,reg1,NG_supply,CO2,60821400.58509616
83,2052,reg1,NG_supply,CO2,60517771.13392898
84,2053,reg1,NG_supply,CO2,60310539.7768439
85,2054,reg1,NG_supply,CO2,60992635.29684116
86,2055,reg1,NG_supply,CO2,60312111.18873979
87,2056,reg1,NG_supply,CO2,60421831.73810615
88,2057,reg1,NG_supply,CO2,60421831.738106124
89,2058,reg1,NG_supply,CO2,60421831.73810615
90,2059,reg1,NG_supply,CO2,60320070.750200175
91,2060,reg1,NG_supply,CO2,60100888.77209835
92,2061,reg1,NG_supply,CO2,60240646.74980153
93,2062,reg1,NG_supply,CO2,60365162.41832707
94,2063,reg1,NG_supply,CO2,60494079.177513056
95,2064,reg1,NG_supply,CO2,60605481.130869225
96,2065,reg1,NG_supply,CO2,61507026.73611148
97,2066,reg1,NG_supply,CO2,60619267.22149
98,2067,reg1,NG_supply,CO2,60771101.34329665
99,2068,reg1,NG_supply,CO2,60869522.5833238
100,2069,reg1,NG_supply,CO2,60952564.56975931
101,2070,reg1,NG_supply,CO2,61411470.59042822
102,2020,reg1,SFF_supply,CO2,2185148.467947185
103,2021,reg1,SFF_supply,CO2,2239359.103895283
104,2022,reg1,SFF_supply,CO2,2237315.5912333014
105,2023,reg1,SFF_supply,CO2,2302436.3684763624
106,2024,reg1,SFF_supply,CO2,2367557.145719421
107,2025,reg1,SFF_supply,CO2,2432677.922962479
108,2026,reg1,SFF_supply,CO2,2323693.5389359943
109,2027,reg1,SFF_supply,CO2,2214631.416560869
110,2028,reg1,SFF_supply,CO2,2105489.4813496266
111,2029,reg1,SFF_supply,CO2,1996265.5843406506
112,2030,reg1,SFF_supply,CO2,1886957.4987258918
113,2031,reg1,SFF_supply,CO2,1806602.6972934369
114,2032,reg1,SFF_supply,CO2,1758446.8681765678
115,2033,reg1,SFF_supply,CO2,1645893.094428526
116,2034,reg1,SFF_supply,CO2,1565538.2929960699
117,2035,reg1,SFF_supply,CO2,1485183.4915636145
118,2036,reg1,SFF_supply,CO2,1407229.3429197434
119,2037,reg1,SFF_supply,CO2,1329275.194275873
120,2038,reg1,SFF_supply,CO2,1251321.0456320026
121,2039,reg1,SFF_supply,CO2,1173366.8969881313
122,2040,reg1,SFF_supply,CO2,1095412.7483442603
123,2041,reg1,SFF_supply,CO2,1019285.3555316065
124,2042,reg1,SFF_supply,CO2,943157.9627189527
125,2043,reg1,SFF_supply,CO2,871346.4440430198
126,2044,reg1,SFF_supply,CO2,790903.177093645
127,2045,reg1,SFF_supply,CO2,714775.7842809901
128,2046,reg1,SFF_supply,CO2,720272.8614922016
129,2047,reg1,SFF_supply,CO2,725769.9387034132
130,2048,reg1,SFF_supply,CO2,731267.015914625
131,2049,reg1,SFF_supply,CO2,736764.0931258369
132,2050,reg1,SFF_supply,CO2,742261.1703370486
133,2051,reg1,SFF_supply,CO2,742261.1703370486
134,2052,reg1,SFF_supply,CO2,742261.1703370486
135,2053,reg1,SFF_supply,CO2,742261.1703370486
136,2054,reg1,SFF_supply,CO2,742261.1703370486
137,2055,reg1,SFF_supply,CO2,742261.1703370486
138,2056,reg1,SFF_supply,CO2,742261.1703370486
139,2057,reg1,SFF_supply,CO2,742261.1703370486
140,2058,reg1,SFF_supply,CO2,742261.1703370486
141,2059,reg1,SFF_supply,CO2,742261.1703370486
142,2060,reg1,SFF_supply,CO2,742261.1703370486
143,2061,reg1,SFF_supply,CO2,742261.1703370486
144,2062,reg1,SFF_supply,CO2,742261.1703370486
145,2063,reg1,SFF_supply,CO2,742261.1703370486
146,2064,reg1,SFF_supply,CO2,742261.1703370486
147,2065,reg1,SFF_supply,CO2,742261.1703370486
148,2066,reg1,SFF_supply,CO2,742261.1703370486
149,2067,reg1,SFF_supply,CO2,742261.1703370486
150,2068,reg1,SFF_supply,CO2,742261.1703370486
151,2069,reg1,SFF_supply,CO2,742261.1703370486
152,2070,reg1,SFF_supply,CO2,742261.1703370486
153,2020,reg1,OP_supply,CO2,0.0
154,2021,reg1,OP_supply,CO2,0.0
155,2022,reg1,OP_supply,CO2,0.0
156,2023,reg1,OP_supply,CO2,0.0
157,2024,reg1,OP_supply,CO2,0.0
158,2025,reg1,OP_supply,CO2,0.0
