Year,Actualized emission
Y0,907372520.5238696
Y1,813370939.6920801
Y2,774868412.5187609
Y3,746138502.3404968
Y4,718840246.1856334
Y5,692403793.9851674
Y6,646831960.7707181
Y7,606519515.2505655
Y8,568756069.2041477
Y9,534001417.49333555
Y10,500923131.4292204
Y11,468521349.2401377
Y12,440313677.09729046
Y13,414453638.4144555
Y14,390563465.51160955
Y15,368214070.4409122
Y16,344123651.6142514
Y17,324584493.26166606
Y18,306158232.3643238
Y19,288932508.99125445
Y20,272280796.43714446
Y21,259411786.61475116
Y22,246698780.87059835
Y23,234829338.2074978
Y24,223037989.17744282
Y25,212150218.5830312
Y26,201935471.42836475
Y27,192456332.01610565
Y28,183291744.77724344
Y29,174563566.45451757
Y30,166214189.1885364
Y31,158299227.79860607
Y32,150709839.15074807
Y33,143533180.1435696
Y34,136832809.79154292
Y35,130134752.7280335
Y36,123989357.64480689
Y37,118085102.51886371
Y38,112462002.39891781
Y39,107106668.95135029
Y40,102006351.38223836
Y41,97148906.07832225
Y42,92522767.69364025
Y43,88116921.61299069
Y44,83930176.7444004
Y45,80004634.7198864
Y46,76063973.02958563
Y47,72327745.89228322
Y48,68890883.07177456
Y49,65656275.67761591
Y50,62662481.4515131
