Year,Actualized cost
Y0,65479425752.5877
Y1,92595176978.97495
Y2,142905413628.6332
Y3,78534705408.61665
Y4,76550302466.65584
Y5,77396638880.12979
Y6,72880569170.82137
Y7,69180252878.62656
Y8,65299426511.57802
Y9,62040845434.5109
Y10,59842077903.086845
Y11,54382266515.22605
Y12,49763845888.40211
Y13,46566924562.90178
Y14,44353133286.747475
Y15,43202095937.44902
Y16,41602247276.05575
Y17,39489885668.45898
Y18,37070776189.23461
Y19,35736016728.98365
Y20,33237651678.931793
Y21,31794671173.503063
Y22,29687372834.212955
Y23,28271863992.052067
Y24,26428623402.56713
Y25,25837251722.650536
Y26,24944640694.958317
Y27,22711055129.32716
Y28,21753638681.735435
Y29,20470115112.109196
Y30,20152581111.654434
Y31,18582594740.566074
Y32,17626778106.001953
Y33,16684872412.631563
Y34,16056741321.352482
Y35,15360351387.667141
Y36,14486846573.051134
Y37,13615713547.346174
Y38,12960539129.58272
Y39,12328557077.20522
Y40,11863513674.510017
Y41,11236153811.979132
Y42,10592837061.15359
Y43,10061616643.595064
Y44,9580101251.976757
Y45,9107011923.870377
Y46,8650430030.509382
Y47,8212030817.577737
Y48,7811390890.4814415
Y49,7472688953.090673
Y50,7154104936.13575
