Year,Actualized emission
Y0,279800479.2987154
Y1,276225940.79461455
Y2,255618343.99889648
Y3,370623244.24384296
Y4,381713797.6810868
Y5,358034300.0145135
Y6,336032514.7969625
Y7,315597376.17300606
Y8,296616089.05846
Y9,278006431.8356407
Y10,259246617.62716556
Y11,242971135.3941725
Y12,227879660.52000898
Y13,213885773.29053184
Y14,201134505.76899448
Y15,189399826.98287416
Y16,177541799.5266031
Y17,166471216.6529537
Y18,158795479.77826884
Y19,150907374.1438285
Y20,144856254.25782475
Y21,139136924.61631328
Y22,133368798.06411949
Y23,128761525.83172199
Y24,123142630.22376898
Y25,120664529.53422742
Y26,116472005.85740472
Y27,113676377.39152211
Y28,110532375.02391009
Y29,103457316.99869074
Y30,104646033.11963437
