Year,Actualized cost
Y0,33574945485.006363
Y1,33902698074.33027
Y2,51384192656.06299
Y3,29088760295.906883
Y4,29079149667.487553
Y5,28250565917.755695
Y6,27207973252.295116
Y7,26133816606.82872
Y8,25113610529.063297
Y9,24153432457.98543
Y10,20886233111.41474
Y11,20085970308.339806
Y12,19385453918.739655
Y13,18428043292.04839
Y14,17872384175.062
Y15,17420357143.14319
Y16,16939614758.595003
Y17,16840510244.034
Y18,16176791509.54113
Y19,15987642472.261244
Y20,15165319867.245178
Y21,14840371350.328484
Y22,14637832457.88383
Y23,14449091491.55384
Y24,14137265786.383358
Y25,14195951738.741167
Y26,13964160387.767654
Y27,13588244706.61526
Y28,13546683100.781433
Y29,13184101512.763443
Y30,12982660084.594227
