Year,Actualized emission
Y0,907372520.5918913
Y1,817298723.9150186
Y2,783750383.9971008
Y3,758246569.9383787
Y4,733727654.8579901
Y5,703324594.3062133
Y6,651829368.6075441
Y7,603110442.9038776
Y8,557476246.6543076
Y9,515075756.895598
Y10,475620313.4272799
Y11,440932443.51658946
Y12,411437081.0418436
Y13,384070637.1842359
Y14,358607955.947379
Y15,335091786.0132374
Y16,315066714.17062795
Y17,296077028.42456645
Y18,276944895.96364266
Y19,259681908.9220714
Y20,243436182.3585951
Y21,229764344.13121796
Y22,216268965.183556
Y23,203619792.2814466
Y24,191492053.21840382
Y25,180230139.3534386
Y26,170834410.12273982
Y27,161924311.5411675
Y28,153473218.31291863
Y29,145459628.25396562
Y30,137863750.26181197
Y31,131304132.62785086
Y32,125051554.88366745
Y33,119096718.93682615
Y34,113611960.35460652
Y35,107930776.72084093
Y36,102880223.67936608
Y37,97981165.40892008
Y38,93315395.6275429
Y39,88871805.35956466
Y40,84639814.62815684
Y41,80602427.52850568
Y42,76766612.72462437
Y43,73119796.08635406
Y44,69644140.56668448
Y45,66390888.309793815
Y46,63103349.00602711
Y47,59853817.02898662
Y48,56926940.87233659
Y49,54210268.00666207
Y50,51869644.54444136
