Year,Actualized cost
Y0,68127314545.096886
Y1,94955765585.73343
Y2,145217879886.36136
Y3,80910906712.28209
Y4,82015230466.32352
Y5,79928233061.2671
Y6,76296687066.35825
Y7,72429795908.87201
Y8,68883714175.55765
Y9,65303776247.71698
Y10,60532440826.63575
Y11,54170935600.70395
Y12,50131711070.343315
Y13,47197257760.92691
Y14,44552673593.370186
Y15,42600116702.08192
Y16,40524817866.6264
Y17,38361992922.81552
Y18,36513704959.99019
Y19,35810557225.13568
Y20,33071672603.288452
Y21,31341289289.86645
Y22,29694573083.209812
Y23,27884923176.483406
Y24,26143255708.25668
Y25,26190637689.77227
Y26,24954082039.44278
Y27,22424152367.857456
Y28,21527137794.553555
Y29,20936067511.554306
Y30,19654027520.961388
Y31,18408833692.945465
Y32,17381557203.32202
Y33,16558715018.650478
Y34,15766170113.908142
Y35,14842954925.116625
Y36,13930084946.610847
Y37,13146350012.461288
Y38,12535205132.569817
Y39,11884442971.483759
Y40,11415354363.384975
Y41,10811547317.76038
Y42,10219375023.402012
Y43,9711340303.374805
Y44,9243018545.507814
Y45,8800391570.941174
Y46,8333381296.205009
Y47,7896670470.6629305
Y48,7508618518.265173
Y49,7112922207.050836
Y50,6879372646.041439
