Year,Actualized cost
Y0,68154782545.120804
Y1,107437598651.40231
Y2,153197398964.01447
Y3,112270623580.69725
Y4,108263584214.7373
Y5,104853323480.24174
Y6,98603399691.49876
Y7,88781140109.95442
Y8,83905769104.07755
Y9,79185464947.73097
Y10,75686381147.9387
Y11,68968300024.70882
Y12,64406046866.29091
Y13,59965170531.82484
Y14,56497835530.818
Y15,53812919304.01657
Y16,50975598379.76029
Y17,48302513814.74098
Y18,46142721672.99956
Y19,44118631402.75302
Y20,40547063230.4951
Y21,38333874085.14791
Y22,36629836508.462685
Y23,34303523360.93361
Y24,32626474612.45015
Y25,31375813575.075058
Y26,32651181191.931755
Y27,28115532871.285683
Y28,26290371398.841133
Y29,24786685767.016632
Y30,23441793661.178764
Y31,22329899556.55708
Y32,20408746351.743195
Y33,19585322129.806168
Y34,18601828888.64859
Y35,17850784779.139492
Y36,16732633309.45971
Y37,15922065266.92585
Y38,15152876643.610302
Y39,14417141937.38071
Y40,13814992379.209484
Y41,13167219087.39928
Y42,12472860999.070625
Y43,11843919752.149502
Y44,11234652451.583681
Y45,10667621258.103722
Y46,10121401735.11423
Y47,9593097959.901352
Y48,9105100672.559298
Y49,8683836182.726751
Y50,8315820203.384553
