Year,Actualized emission
Y0,907372520.5918913
Y1,815339639.548763
Y2,781470956.9358376
Y3,743736844.5357683
Y4,709465734.7792565
Y5,675530602.6324986
Y6,625823876.7829715
Y7,581089610.9973674
Y8,540581612.5694236
Y9,503535004.7685127
Y10,468397122.82981205
Y11,435434631.6804282
Y12,406712765.6746895
Y13,379363721.4340841
Y14,354176893.4065334
Y15,330695436.72681445
Y16,306614777.83783805
Y17,284089393.84476954
Y18,261560598.36221293
Y19,241351524.30422392
Y20,222798842.89329407
Y21,206801009.23735848
Y22,191498739.27025172
Y23,177127410.96046004
Y24,163511021.445275
Y25,151046183.99554542
Y26,143137886.24434167
Y27,135799619.40006724
Y28,128787515.62976466
Y29,122140939.44060765
Y30,115835335.32472691
Y31,110271382.99833822
Y32,105024267.64203313
Y33,100031811.28254128
Y34,95497336.77065493
Y35,90680096.2825209
Y36,86451004.21429935
Y37,82334289.72790414
Y38,78413609.26467063
Y39,74679627.87111486
Y40,71123455.11534749
Y41,67736623.91937858
Y42,64511070.39940815
Y43,61444678.15282015
Y44,58524198.145319454
Y45,55801034.38920002
Y46,53016863.770260304
Y47,50176759.90572221
Y48,47712846.533299185
Y49,45446025.143848546
Y50,43341380.513915844
