Year,Actualized emission
Y0,907372520.5238695
Y1,817298724.1944054
Y2,783750383.8513588
Y3,748676297.6585268
Y4,713975718.6993507
Y5,679981741.043984
Y6,630588041.4068272
Y7,585179649.6291274
Y8,544757994.2263377
Y9,507551498.79259413
Y10,472534101.94567966
Y11,440032868.96454424
Y12,411276787.31860113
Y13,383925016.18984747
Y14,358713255.1944353
Y15,335268027.26738626
Y16,312806068.17940515
Y17,291025593.13511384
Y18,269762983.69883865
Y19,251038185.5813821
Y20,232669817.05477434
Y21,217763093.7241294
Y22,202949075.5596129
Y23,189442654.17708784
Y24,175937352.08710337
Y25,163308856.11790827
Y26,154813193.48842934
Y27,146988612.346465
Y28,139411543.64179677
Y29,132151245.44347753
Y30,125256240.97983392
Y31,119293483.39299239
Y32,113612841.32665941
Y33,108202706.02538991
Y34,103167119.9215642
Y35,98049860.30113207
Y36,93469565.72758009
Y37,89018634.02626675
Y38,84779651.45358738
Y39,80742525.19389275
Y40,76897643.0418026
Y41,73212168.47355583
Y42,69744234.86852072
Y43,66427075.29796143
Y44,63279611.96466334
Y45,60343097.952819854
Y46,57271543.71925594
Y47,54307377.50716017
Y48,51819559.535535164
Y49,49508387.77784122
Y50,47467733.776437186
