Year,Actualized cost
Y0,68127314544.86004
Y1,94955765638.47258
Y2,150953061718.3533
Y3,85792445577.5424
Y4,83251457037.69043
Y5,80894050666.49217
Y6,75147971351.13588
Y7,69544840223.6727
Y8,64922784346.67846
Y9,61680955912.44573
Y10,58673258431.47987
Y11,53290005212.51864
Y12,50162165915.75628
Y13,46969020650.918
Y14,45250607317.193245
Y15,43443243745.67213
Y16,41891193032.7144
Y17,39485403044.40183
Y18,36968614406.57028
Y19,36860452692.28547
Y20,33328017921.12436
Y21,32024488768.460926
Y22,30319810168.63985
Y23,28600296037.415497
Y24,26764950602.138428
Y25,25879604397.20826
Y26,24300693572.89897
Y27,22661258615.12697
Y28,21563166533.80131
Y29,20363863290.865185
Y30,19204019979.28372
Y31,18006390609.937767
Y32,16851268171.879509
Y33,16176627122.353655
Y34,15147716795.273245
Y35,14511203303.901676
Y36,13584443334.508596
Y37,12914357100.35406
Y38,12289997243.257883
Y39,11679962449.599047
Y40,11283910519.134216
Y41,10701715475.200493
Y42,10165610097.627571
Y43,9613247135.081507
Y44,9161720650.126282
Y45,8672093632.545546
Y46,8166128401.314008
Y47,7743166275.488692
Y48,7397659940.376865
Y49,7093966462.551434
Y50,6803020669.142264
