Year,Actualized cost
Y0,68155120120.825966
Y1,107437796664.60242
Y2,153002507478.54764
Y3,112271705871.73178
Y4,108284526161.16109
Y5,104875262336.8179
Y6,99207142248.4596
Y7,89428559514.692
Y8,84296447175.57086
Y9,79077116233.74704
Y10,75538930513.3642
Y11,68827290411.46712
Y12,64265596139.80458
Y13,59844592982.90884
Y14,56933559380.57004
Y15,55151657229.3138
Y16,52347715498.22843
Y17,49923152753.7224
Y18,47483998013.896164
Y19,44434139318.963776
Y20,41134857845.340004
Y21,39168414147.64929
Y22,37091549685.21313
Y23,34064811194.18475
Y24,33580865052.634632
Y25,30354820411.29023
Y26,31686750548.704445
Y27,27415246497.95076
Y28,25583382769.091183
Y29,24193179558.115448
Y30,22854029977.42982
Y31,21717967047.5592
Y32,20167266686.131454
Y33,19420237114.810146
Y34,18164632530.849915
Y35,17373581959.579735
Y36,16176386924.102573
Y37,15406607316.898272
Y38,14662700509.737038
Y39,14044272607.217016
Y40,13560591236.083925
Y41,12850551312.046743
Y42,12213762872.716202
Y43,11532237970.633825
Y44,10832003062.95408
Y45,10264433184.193615
Y46,9722019831.401442
Y47,9232994512.001348
Y48,8806978278.43359
Y49,8464328089.854421
Y50,8142265640.697406
