Year,Actualized emission
Y0,907372520.5238696
Y1,814892630.2624779
Y2,781045233.3384839
Y3,743736844.7906084
Y4,709465734.7206582
Y5,675545943.9325395
Y6,625780096.2771771
Y7,581020118.2162141
Y8,540515428.8070972
Y9,503489499.1103022
Y10,468358391.1704047
Y11,435396973.6740988
Y12,406671403.1941858
Y13,379325438.85444456
Y14,353876874.10452753
Y15,328352230.0893821
Y16,304344443.6710695
Y17,282856363.3137182
Y18,261845410.88638446
Y19,242860432.77332756
Y20,224938789.0022505
Y21,210002490.71419588
Y22,195302109.69005933
Y23,182032677.45236608
Y24,169033575.87923864
Y25,156536385.27539006
Y26,147545784.3715649
Y27,139987132.3968717
Y28,132689216.87926821
Y29,126066679.56425118
Y30,119834983.82587075
Y31,114126856.35961682
Y32,108384743.33589692
Y33,103029693.36305678
Y34,98238550.22432852
Y35,93467572.12026328
Y36,89121011.43948114
Y37,84877153.75188679
Y38,80835384.52560647
Y39,76967365.63169716
Y40,73659808.12436134
Y41,70679458.97474168
Y42,67404307.55977032
Y43,64284752.29089233
Y44,61297238.18013077
Y45,58654406.76442633
Y46,55684912.39391498
Y47,52806149.40666318
Y48,50383021.51266339
Y49,48057824.12454492
Y50,46037644.13186102
