Year,Actualized emission
Y0,1011301713.5593356
Y1,921822141.9375067
Y2,890861546.3503704
Y3,855581505.4652555
Y4,824410087.6587567
Y5,794261097.2037485
Y6,735439284.5590053
Y7,680300278.7504143
Y8,628896155.654573
Y9,581890776.7720535
Y10,538894495.2389752
Y11,501066456.9059967
Y12,467773446.4653052
Y13,436199872.80237854
Y14,408763544.53296405
Y15,383125222.38100076
Y16,356782673.1539187
Y17,332526890.36697245
Y18,307363305.9974365
Y19,285557823.0802479
Y20,264321045.46842855
Y21,246678961.80401665
Y22,229425488.081861
Y23,213755928.70571294
Y24,198112095.845964
Y25,183395913.75756395
Y26,173779025.6183362
Y27,164913949.4611192
Y28,156332495.18204492
Y29,148073540.44743466
Y30,140234538.43385956
Y31,133558833.64958395
Y32,127198889.19007994
Y33,121141799.22864756
Y34,115686659.15889458
Y35,109786635.39161809
Y36,104646840.92745711
Y37,99660636.32712929
Y38,94902897.39399225
Y39,90383711.80380213
Y40,86079725.5274306
Y41,81951156.63597575
Y42,78072654.35661869
Y43,74364527.84918733
Y44,70828758.82699682
Y45,67532757.15828392
Y46,64144275.76208615
Y47,60841372.33603349
Y48,58006815.333080955
Y49,55361979.46017455
Y50,53073240.413386434
