Year,Actualized cost
Y0,67767302832.707
Y1,101185410829.5203
Y2,175757212185.88525
Y3,95517653728.31052
Y4,93899511967.21123
Y5,90027070073.69246
Y6,87045932408.07542
Y7,80970221935.26445
Y8,75241402807.62376
Y9,69819875301.27266
Y10,66088591428.263176
Y11,60233826602.433136
Y12,56858539990.17057
Y13,51209876047.13175
Y14,48990866778.97692
Y15,47834221234.84676
Y16,44689631862.96735
Y17,42609964022.73537
Y18,40527512520.17241
Y19,39664372707.28368
Y20,35925561693.9259
Y21,34336135119.24164
Y22,32450576468.277775
Y23,30476379793.273186
Y24,28766401455.72144
Y25,27612725227.516247
Y26,25897777037.12348
Y27,24792481969.537918
Y28,23303989509.05366
Y29,22033688711.365494
Y30,20557506549.490494
Y31,19465265125.09163
Y32,18437023962.158592
Y33,17347042851.332565
Y34,16469146713.152136
Y35,15508477826.338638
Y36,14939871693.5044
Y37,14119470216.95968
Y38,13154925064.022486
Y39,12495846294.499008
Y40,12113126928.481789
Y41,11414938848.676054
Y42,10889873344.702349
Y43,10318240068.03251
Y44,9830248130.20873
Y45,9303592148.248053
Y46,8775364406.41227
Y47,8336970303.951562
Y48,7941937871.578396
Y49,7598789070.61501
Y50,7294245211.483422
