,Datetime,Region,Technology,Emission,Value
0,2020,reg1,Oil_supply,CO2,39158187.18706484
1,2021,reg1,Oil_supply,CO2,39791674.77376425
2,2022,reg1,Oil_supply,CO2,42719917.514254496
3,2023,reg1,Oil_supply,CO2,41104902.82087407
4,2024,reg1,Oil_supply,CO2,41723655.40325512
5,2025,reg1,Oil_supply,CO2,42316380.95294539
6,2026,reg1,Oil_supply,CO2,41162755.566853985
7,2027,reg1,Oil_supply,CO2,40246272.22754499
8,2028,reg1,Oil_supply,CO2,38998680.87667162
9,2029,reg1,Oil_supply,CO2,37750133.30186243
10,2030,reg1,Oil_supply,CO2,36474039.6493191
11,2031,reg1,Oil_supply,CO2,36110206.30160452
12,2032,reg1,Oil_supply,CO2,35728202.78525169
13,2033,reg1,Oil_supply,CO2,35351060.314744905
14,2034,reg1,Oil_supply,CO2,34966686.14004811
15,2035,reg1,Oil_supply,CO2,34593391.84786336
16,2036,reg1,Oil_supply,CO2,33547067.42265131
17,2037,reg1,Oil_supply,CO2,32496978.755790852
18,2038,reg1,Oil_supply,CO2,28682388.613595337
19,2039,reg1,Oil_supply,CO2,27606568.880370665
20,2040,reg1,Oil_supply,CO2,26640930.350725774
21,2041,reg1,Oil_supply,CO2,25625402.28250003
22,2042,reg1,Oil_supply,CO2,24636421.845382664
23,2043,reg1,Oil_supply,CO2,23673989.039373703
24,2044,reg1,Oil_supply,CO2,22738103.86447317
25,2045,reg1,Oil_supply,CO2,21828766.32068095
26,2046,reg1,Oil_supply,CO2,21828766.320680916
27,2047,reg1,Oil_supply,CO2,21828766.320680916
28,2048,reg1,Oil_supply,CO2,21828766.320680916
29,2049,reg1,Oil_supply,CO2,21828766.320680916
30,2050,reg1,Oil_supply,CO2,21828766.320680916
31,2051,reg1,Oil_supply,CO2,21828766.320680916
32,2052,reg1,Oil_supply,CO2,21828766.320680916
33,2053,reg1,Oil_supply,CO2,21828766.320680916
34,2054,reg1,Oil_supply,CO2,21828766.320680916
35,2055,reg1,Oil_supply,CO2,21828766.320680916
36,2056,reg1,Oil_supply,CO2,21828766.320680916
37,2057,reg1,Oil_supply,CO2,21828766.320680916
38,2058,reg1,Oil_supply,CO2,21828766.320680916
39,2059,reg1,Oil_supply,CO2,21828766.320680916
40,2060,reg1,Oil_supply,CO2,21828766.320680916
41,2061,reg1,Oil_supply,CO2,21828766.320680916
42,2062,reg1,Oil_supply,CO2,21828766.320680916
43,2063,reg1,Oil_supply,CO2,21828766.320680916
44,2064,reg1,Oil_supply,CO2,21828766.320680916
45,2065,reg1,Oil_supply,CO2,21828766.320680916
46,2066,reg1,Oil_supply,CO2,21828766.320680916
47,2067,reg1,Oil_supply,CO2,21828766.320680916
48,2068,reg1,Oil_supply,CO2,21828766.320680916
49,2069,reg1,Oil_supply,CO2,21828766.320680916
50,2070,reg1,Oil_supply,CO2,21666013.32370367
51,2020,reg1,NG_supply,CO2,101751804.73960544
52,2021,reg1,NG_supply,CO2,91678349.62165327
53,2022,reg1,NG_supply,CO2,87079296.75710456
54,2023,reg1,NG_supply,CO2,90563010.51686259
55,2024,reg1,NG_supply,CO2,90367839.16600133
56,2025,reg1,NG_supply,CO2,90174499.5204032
57,2026,reg1,NG_supply,CO2,87322500.2610798
58,2027,reg1,NG_supply,CO2,83959355.57488963
59,2028,reg1,NG_supply,CO2,81350041.39486498
60,2029,reg1,NG_supply,CO2,79091105.96924785
61,2030,reg1,NG_supply,CO2,77154697.1790197
62,2031,reg1,NG_supply,CO2,74943982.26493883
63,2032,reg1,NG_supply,CO2,73915667.31960669
64,2033,reg1,NG_supply,CO2,71736916.25851515
65,2034,reg1,NG_supply,CO2,70831267.57883595
66,2035,reg1,NG_supply,CO2,69967775.2400796
67,2036,reg1,NG_supply,CO2,69975420.66368684
68,2037,reg1,NG_supply,CO2,70171431.70398988
69,2038,reg1,NG_supply,CO2,69921451.95954442
70,2039,reg1,NG_supply,CO2,69879111.09212819
71,2040,reg1,NG_supply,CO2,69443543.9498443
72,2041,reg1,NG_supply,CO2,70240461.17753999
73,2042,reg1,NG_supply,CO2,70605601.51433323
74,2043,reg1,NG_supply,CO2,72128407.53069077
75,2044,reg1,NG_supply,CO2,71154534.57518484
76,2045,reg1,NG_supply,CO2,71025326.89188957
77,2046,reg1,NG_supply,CO2,70658343.81203718
78,2047,reg1,NG_supply,CO2,70456232.59478311
79,2048,reg1,NG_supply,CO2,70139563.70130444
80,2049,reg1,NG_supply,CO2,69735664.75865655
81,2050,reg1,NG_supply,CO2,69322579.20893952
82,2051,reg1,NG_supply,CO2,69324274.86057316
83,2052,reg1,NG_supply,CO2,69324274.86057316
84,2053,reg1,NG_supply,CO2,69324274.86057317
85,2054,reg1,NG_supply,CO2,70503558.94689319
86,2055,reg1,NG_supply,CO2,69234737.97485888
87,2056,reg1,NG_supply,CO2,69324274.86057317
88,2057,reg1,NG_supply,CO2,69321051.81304991
89,2058,reg1,NG_supply,CO2,69307618.55424532
90,2059,reg1,NG_supply,CO2,69307618.55424534
91,2060,reg1,NG_supply,CO2,69307618.55424532
92,2061,reg1,NG_supply,CO2,69269327.26323672
93,2062,reg1,NG_supply,CO2,69301908.8902634
94,2063,reg1,NG_supply,CO2,69315658.1219652
95,2064,reg1,NG_supply,CO2,69323761.22877724
96,2065,reg1,NG_supply,CO2,70247546.61655366
97,2066,reg1,NG_supply,CO2,69159124.53473245
98,2067,reg1,NG_supply,CO2,69430763.13230187
99,2068,reg1,NG_supply,CO2,69467693.55188085
100,2069,reg1,NG_supply,CO2,69617065.74406853
101,2070,reg1,NG_supply,CO2,70324759.0414181
102,2020,reg1,SFF_supply,CO2,2731706.8352869344
103,2021,reg1,SFF_supply,CO2,2675871.8661655206
104,2022,reg1,SFF_supply,CO2,2564149.536038401
105,2023,reg1,SFF_supply,CO2,2519958.461559408
106,2024,reg1,SFF_supply,CO2,2476134.5310775824
107,2025,reg1,SFF_supply,CO2,2432677.922962479
108,2026,reg1,SFF_supply,CO2,2323693.538935994
