Year,Actualized emission
Y0,932210427.8147818
Y1,825448199.8158948
Y2,775267025.6680139
Y3,726112772.7348237
Y4,682241703.321256
Y5,641023586.3746617
Y6,595394527.6733103
Y7,553602502.4482448
Y8,514302181.2339294
Y9,477723107.1439058
Y10,443575383.22055656
Y11,412469918.9179693
Y12,383894328.141623
Y13,356745073.8272816
Y14,331904803.2636083
Y15,308768613.75706077
Y16,285718609.4602273
Y17,263544585.90265217
Y18,242378429.67798772
Y19,222698989.9892457
Y20,205037498.73184156
Y21,193695677.8743996
Y22,182177321.79567635
Y23,171714693.66947865
Y24,160967909.47650382
Y25,151089990.84468096
Y26,143986536.7572056
Y27,137163682.35268268
Y28,130632078.43112636
Y29,124411503.26773936
Y30,118487145.9692756
Y31,112844872.20795003
Y32,107423405.72163874
Y33,102308108.12899299
Y34,97493163.72967765
Y35,92702700.33990838
Y36,88377590.43644787
Y37,84169133.74899799
Y38,80161079.76095046
Y39,76343885.48661949
Y40,72708462.368209
Y41,69222846.31879956
Y42,65944590.69530774
Y43,62817517.49860019
Y44,59828187.534811705
Y45,56956361.292685166
Y46,54031397.18103683
Y47,51306823.15763656
Y48,48900121.94088304
Y49,46786615.094348
Y50,44939167.945009135
