Year,Actualized cost
Y0,66098943196.20257
Y1,93265239055.0811
Y2,149800144362.7013
Y3,83634216138.41965
Y4,80586837648.93901
Y5,75167625463.74123
Y6,69694619463.78082
Y7,65767280850.13852
Y8,62426314411.88812
Y9,59027966350.63837
Y10,54509755274.24362
Y11,50575583466.48774
Y12,47124146992.13307
Y13,43855014411.068504
Y14,42342123139.458694
Y15,40311438448.17702
Y16,39106996002.53023
Y17,36142300320.46078
Y18,34613016292.01168
Y19,33585218617.219772
Y20,30983371463.65172
Y21,30018525800.501457
Y22,28622100500.24919
Y23,27249191686.39668
Y24,25479106255.346004
Y25,24645206651.72829
Y26,23412889633.717968
Y27,21864055898.673374
Y28,20684807886.95079
Y29,19618599930.349625
Y30,18115992955.381336
Y31,17201897784.31751
Y32,16251465059.703707
Y33,15619737300.196444
Y34,14607021777.165918
Y35,13786799239.355572
Y36,13067817537.828762
Y37,12438443288.708296
Y38,11850804071.638058
Y39,11286194942.690212
Y40,10870354818.194593
Y41,10323024807.895342
Y42,9775207471.285938
Y43,9277128512.468067
Y44,8826376586.254717
Y45,8347026785.010765
Y46,7852777985.536808
Y47,7456901762.981672
Y48,7092512543.359019
Y49,6832651533.441535
Y50,6556388142.057394
