Year_name,,Elec_transmission_distribution
2015,1,100888.208333
2015,2,89876.208333
2015,3,83870.208333
2015,4,82869.208333
2015,5,84872.208333
2015,6,82871.208333
2015,7,98859.208333
2015,8,100378.208333
2015,9,129377.208333
2015,10,168377.208333
2015,11,172377.208333
2015,12,168733.208333
2015,13,161777.208333
2015,14,160937.208333
2015,15,147937.208333
2015,16,139936.208333
2015,17,109935.208333
2015,18,86863.208333
2015,19,108793.208333
2015,20,252945.20833299996
2015,21,257947.208333
2015,22,223967.20833300002
2015,23,130967.208333
2015,24,86907.208333
2015,25,82502.0
2015,26,85502.0
2015,27,81503.0
2015,28,81501.0
2015,29,82500.0
2015,30,80500.0
2015,31,99505.0
2015,32,196373.99999999997
2015,33,284515.0
2015,34,310676.0
2015,35,319676.0
2015,36,321676.0
2015,37,326658.0
2015,38,305656.0
2015,39,228553.99999999997
2015,40,245554.0
2015,41,222552.0
2015,42,205552.0
2015,43,226556.0
2015,44,335256.0
2015,45,314255.0
2015,46,290256.0
2015,47,217256.00000000003
2015,48,115576.00000000001
2015,49,84468.041667
2015,50,88468.041667
2015,51,82468.041667
2015,52,81469.041667
2015,53,82469.041667
2015,54,86470.041667
2015,55,83634.041667
2015,56,156632.041667
2015,57,216631.041667
2015,58,243631.04166699998
2015,59,241631.041667
2015,60,256963.04166700007
2015,61,256964.04166700007
2015,62,241625.041667
2015,63,196625.041667
2015,64,168624.041667
2015,65,163623.041667
2015,66,162725.041667
2015,67,203733.04166699998
2015,68,358653.041667
2015,69,344654.041667
2015,70,303032.041667
2015,71,170930.041667
2015,72,87909.041667
2015,73,80516.791667
2015,74,79517.791667
2015,75,80517.791667
2015,76,84515.791667
2015,77,91515.791667
2015,78,85515.791667
2015,79,80049.791667
2015,80,123825.79166700001
2015,81,186821.791667
2015,82,195881.79166699998
2015,83,192881.791667
2015,84,149881.791667
2015,85,149891.791667
2015,86,157894.791667
2015,87,151895.791667
2015,88,132895.79166700004
2015,89,112895.79166700001
2015,90,118015.791667
2015,91,157012.791667
2015,92,323892.791667
2015,93,294891.791667
2015,94,288851.791667
2015,95,175851.791667
2015,96,93851.791667
2015,97,79909.5
2015,98,79906.5
2015,99,79906.5
2015,100,79906.5
2015,101,93924.5
2015,102,87924.5
2015,103,110018.49999999999
2015,104,177018.5
2015,105,228018.50000000003
2015,106,276017.5
2015,107,272018.5
2015,108,301018.5
2015,109,300874.5
2015,110,315872.5
2015,111,265870.5
2015,112,258871.49999999994
2015,113,271874.5
2015,114,227874.5
2015,115,199876.5
2015,116,334856.5
2015,117,350855.5
2015,118,316853.5
2015,119,211857.49999999997
2015,120,100858.50000000001
2015,121,81515.0
2015,122,83514.0
2015,123,85512.0
2015,124,89201.0
2015,125,86971.0
2015,126,103970.0
2015,127,161981.0
2015,128,186895.0
2015,129,244898.0
2015,130,251903.0
2015,131,266087.0
2015,132,308110.0
2015,133,306118.0
2015,134,290947.0
2015,135,290948.0
2015,136,285950.0
2015,137,274951.0
2015,138,270145.0
2015,139,278148.0
2015,140,336502.0
2015,141,336501.0
2015,142,283394.0
2015,143,185395.0
2015,144,95603.0
2015,145,84414.666667
2015,146,87415.666667
2015,147,83415.666667
2015,148,83416.666667
2015,149,93418.666667
2015,150,157424.666667
2015,151,221507.66666700004
2015,152,235507.666667
2015,153,284508.666667
2015,154,307469.666667
2015,155,290466.666667
2015,156,294465.666667
2015,157,285617.666667
2015,158,261657.666667
2015,159,268659.666667
2015,160,247660.66666700004
2015,161,241661.666667
2015,162,216403.666667
2015,163,224425.666667
2015,164,336670.666667
2015,165,340669.666667
2015,166,322529.666667
2015,167,216529.66666699998
2015,168,101530.66666700001
2015,169,92739.416667
2015,170,79740.416667
2015,171,82742.416667
2015,172,78743.416667
2015,173,79743.416667
2015,174,151743.416667
2015,175,197735.416667
2015,176,203769.416667
2015,177,229802.41666699998
2015,178,261363.416667
2015,179,354115.416667
2015,180,349996.416667
2015,181,342840.416667
2015,182,325113.416667
2015,183,344111.416667
2015,184,339114.416667
2015,185,340367.416667
2015,186,255549.416667
2015,187,203601.416667
2015,188,363865.416667
2015,189,369868.416667
2015,190,311837.416667
2015,191,253839.41666699995
2015,192,120842.416667
2015,193,87807.375
2015,194,78808.375
2015,195,82811.375
2015,196,84813.375
2015,197,90817.375
2015,198,162818.375
2015,199,268879.375
2015,200,303238.375
2015,201,301478.375
2015,202,302478.375
2015,203,299480.375
2015,204,285480.375
2015,205,286988.375
2015,206,225990.37500000003
2015,207,220992.375
2015,208,220993.375
2015,209,219994.375
2015,210,215994.375
2015,211,218294.375
2015,212,310642.375
2015,213,316642.375
2015,214,292652.375
2015,215,241662.375
2015,216,155622.375
2015,217,91719.5
2015,218,86718.5
2015,219,80715.5
2015,220,79735.5
2015,221,87755.5
2015,222,91753.5
2015,223,133369.5
2015,224,181310.5
2015,225,241213.50000000003
2015,226,270215.5
2015,227,286218.5
2015,228,305791.5
2015,229,295788.5
2015,230,261794.5
2015,231,236795.5
2015,232,251699.5
2015,233,253707.5
2015,234,232710.5
2015,235,220581.5
2015,236,347378.5
2015,237,380381.5
2015,238,331782.5
2015,239,228776.50000000003
2015,240,136781.49999999997
2015,241,82776.333333
2015,242,85774.333333
2015,243,87777.333333
2015,244,89778.333333
2015,245,86782.333333
2015,246,92784.333333
2015,247,92910.333333
2015,248,141922.333333
2015,249,180925.333333
2015,250,169335.333333
2015,251,165335.333333
2015,252,153314.333333
2015,253,157327.333333
2015,254,163411.333333
2015,255,159421.333333
2015,256,150431.333333
2015,257,152441.333333
2015,258,154331.333333
2015,259,220308.33333299996
2015,260,352167.333333
2015,261,339166.333333
2015,262,308165.333333
2015,263,182174.333333
2015,264,83183.333333
2015,265,84152.083333
2015,266,84172.083333
2015,267,84170.083333
2015,268,91180.083333
2015,269,92189.083333
2015,270,115186.083333
2015,271,191118.083333
2015,272,219122.083333
2015,273,278125.083333
2015,274,279148.083333
2015,275,274153.083333
2015,276,285178.083333
2015,277,273674.083333
2015,278,275067.083333
2015,279,279231.083333
2015,280,271832.083333
2015,281,266826.083333
2015,282,247948.08333299996
2015,283,221805.08333299996
2015,284,355483.083333
2015,285,344488.083333
2015,286,326441.083333
2015,287,275736.083333
2015,288,163058.083333
2015,289,93179.25
2015,290,87183.25
2015,291,88189.25
2015,292,78188.25
2015,293,83191.25
2015,294,147215.25
2015,295,233241.25
2015,296,245272.25
2015,297,288272.25
2015,298,308181.25
2015,299,298091.25
