,Scenario,Datetime,Region,Technology,Carrier,Value
0,scenario1,2020-01-01 00:00:00,reg1,Pump_hydro_ST,Electricity,0.0
1,scenario1,2020-01-16 05:00:00,reg1,Pump_hydro_ST,Electricity,0.0
2,scenario1,2020-01-31 10:00:00,reg1,Pump_hydro_ST,Electricity,0.0
3,scenario1,2020-02-15 15:00:00,reg1,Pump_hydro_ST,Electricity,0.0
4,scenario1,2020-03-01 20:00:00,reg1,Pump_hydro_ST,Electricity,0.0
5,scenario1,2020-03-17 01:00:00,reg1,Pump_hydro_ST,Electricity,0.0
6,scenario1,2020-04-01 06:00:00,reg1,Pump_hydro_ST,Electricity,0.0
7,scenario1,2020-04-16 11:00:00,reg1,Pump_hydro_ST,Electricity,0.0
8,scenario1,2020-05-01 16:00:00,reg1,Pump_hydro_ST,Electricity,0.0
9,scenario1,2020-05-16 21:00:00,reg1,Pump_hydro_ST,Electricity,0.0
10,scenario1,2020-06-01 02:00:00,reg1,Pump_hydro_ST,Electricity,0.0
11,scenario1,2020-06-16 07:00:00,reg1,Pump_hydro_ST,Electricity,0.0
12,scenario1,2020-07-01 12:00:00,reg1,Pump_hydro_ST,Electricity,0.0
13,scenario1,2020-07-16 17:00:00,reg1,Pump_hydro_ST,Electricity,0.0
14,scenario1,2020-07-31 22:00:00,reg1,Pump_hydro_ST,Electricity,0.0
15,scenario1,2020-08-16 03:00:00,reg1,Pump_hydro_ST,Electricity,0.0
16,scenario1,2020-08-31 08:00:00,reg1,Pump_hydro_ST,Electricity,0.0
17,scenario1,2020-09-15 13:00:00,reg1,Pump_hydro_ST,Electricity,0.0
18,scenario1,2020-09-30 18:00:00,reg1,Pump_hydro_ST,Electricity,0.0
19,scenario1,2020-10-15 23:00:00,reg1,Pump_hydro_ST,Electricity,0.0
20,scenario1,2020-10-31 04:00:00,reg1,Pump_hydro_ST,Electricity,0.0
21,scenario1,2020-11-15 09:00:00,reg1,Pump_hydro_ST,Electricity,0.0
22,scenario1,2020-11-30 14:00:00,reg1,Pump_hydro_ST,Electricity,0.0
23,scenario1,2020-12-15 19:00:00,reg1,Pump_hydro_ST,Electricity,0.0
24,scenario1,2021-01-01 00:00:00,reg1,Pump_hydro_ST,Electricity,0.0
25,scenario1,2021-01-16 05:00:00,reg1,Pump_hydro_ST,Electricity,0.0
26,scenario1,2021-01-31 10:00:00,reg1,Pump_hydro_ST,Electricity,0.0
27,scenario1,2021-02-15 15:00:00,reg1,Pump_hydro_ST,Electricity,0.0
28,scenario1,2021-03-02 20:00:00,reg1,Pump_hydro_ST,Electricity,0.0
29,scenario1,2021-03-18 01:00:00,reg1,Pump_hydro_ST,Electricity,0.0
30,scenario1,2021-04-02 06:00:00,reg1,Pump_hydro_ST,Electricity,0.0
31,scenario1,2021-04-17 11:00:00,reg1,Pump_hydro_ST,Electricity,0.0
32,scenario1,2021-05-02 16:00:00,reg1,Pump_hydro_ST,Electricity,0.0
33,scenario1,2021-05-17 21:00:00,reg1,Pump_hydro_ST,Electricity,0.0
34,scenario1,2021-06-02 02:00:00,reg1,Pump_hydro_ST,Electricity,0.0
35,scenario1,2021-06-17 07:00:00,reg1,Pump_hydro_ST,Electricity,0.0
36,scenario1,2021-07-02 12:00:00,reg1,Pump_hydro_ST,Electricity,0.0
37,scenario1,2021-07-17 17:00:00,reg1,Pump_hydro_ST,Electricity,0.0
38,scenario1,2021-08-01 22:00:00,reg1,Pump_hydro_ST,Electricity,0.0
39,scenario1,2021-08-17 03:00:00,reg1,Pump_hydro_ST,Electricity,0.0
40,scenario1,2021-09-01 08:00:00,reg1,Pump_hydro_ST,Electricity,0.0
41,scenario1,2021-09-16 13:00:00,reg1,Pump_hydro_ST,Electricity,0.0
42,scenario1,2021-10-01 18:00:00,reg1,Pump_hydro_ST,Electricity,0.0
43,scenario1,2021-10-16 23:00:00,reg1,Pump_hydro_ST,Electricity,0.0
44,scenario1,2021-11-01 04:00:00,reg1,Pump_hydro_ST,Electricity,0.0
45,scenario1,2021-11-16 09:00:00,reg1,Pump_hydro_ST,Electricity,0.0
46,scenario1,2021-12-01 14:00:00,reg1,Pump_hydro_ST,Electricity,0.0
47,scenario1,2021-12-16 19:00:00,reg1,Pump_hydro_ST,Electricity,0.0
48,scenario1,2022-01-01 00:00:00,reg1,Pump_hydro_ST,Electricity,0.0
49,scenario1,2022-01-16 05:00:00,reg1,Pump_hydro_ST,Electricity,0.0
50,scenario1,2022-01-31 10:00:00,reg1,Pump_hydro_ST,Electricity,0.0
51,scenario1,2022-02-15 15:00:00,reg1,Pump_hydro_ST,Electricity,0.0
52,scenario1,2022-03-02 20:00:00,reg1,Pump_hydro_ST,Electricity,0.0
53,scenario1,2022-03-18 01:00:00,reg1,Pump_hydro_ST,Electricity,0.0
54,scenario1,2022-04-02 06:00:00,reg1,Pump_hydro_ST,Electricity,0.0
55,scenario1,2022-04-17 11:00:00,reg1,Pump_hydro_ST,Electricity,0.0
56,scenario1,2022-05-02 16:00:00,reg1,Pump_hydro_ST,Electricity,0.0
57,scenario1,2022-05-17 21:00:00,reg1,Pump_hydro_ST,Electricity,0.0
58,scenario1,2022-06-02 02:00:00,reg1,Pump_hydro_ST,Electricity,0.0
59,scenario1,2022-06-17 07:00:00,reg1,Pump_hydro_ST,Electricity,0.0
60,scenario1,2022-07-02 12:00:00,reg1,Pump_hydro_ST,Electricity,0.0
61,scenario1,2022-07-17 17:00:00,reg1,Pump_hydro_ST,Electricity,0.0
62,scenario1,2022-08-01 22:00:00,reg1,Pump_hydro_ST,Electricity,0.0
63,scenario1,2022-08-17 03:00:00,reg1,Pump_hydro_ST,Electricity,0.0
64,scenario1,2022-09-01 08:00:00,reg1,Pump_hydro_ST,Electricity,0.0
65,scenario1,2022-09-16 13:00:00,reg1,Pump_hydro_ST,Electricity,0.0
66,scenario1,2022-10-01 18:00:00,reg1,Pump_hydro_ST,Electricity,0.0
67,scenario1,2022-10-16 23:00:00,reg1,Pump_hydro_ST,Electricity,0.0
68,scenario1,2022-11-01 04:00:00,reg1,Pump_hydro_ST,Electricity,0.0
69,scenario1,2022-11-16 09:00:00,reg1,Pump_hydro_ST,Electricity,0.0
70,scenario1,2022-12-01 14:00:00,reg1,Pump_hydro_ST,Electricity,0.0
71,scenario1,2022-12-16 19:00:00,reg1,Pump_hydro_ST,Electricity,0.0
72,scenario1,2023-01-01 00:00:00,reg1,Pump_hydro_ST,Electricity,0.0
73,scenario1,2023-01-16 05:00:00,reg1,Pump_hydro_ST,Electricity,0.0
74,scenario1,2023-01-31 10:00:00,reg1,Pump_hydro_ST,Electricity,0.0
75,scenario1,2023-02-15 15:00:00,reg1,Pump_hydro_ST,Electricity,0.0
76,scenario1,2023-03-02 20:00:00,reg1,Pump_hydro_ST,Electricity,0.0
77,scenario1,2023-03-18 01:00:00,reg1,Pump_hydro_ST,Electricity,0.0
78,scenario1,2023-04-02 06:00:00,reg1,Pump_hydro_ST,Electricity,0.0
79,scenario1,2023-04-17 11:00:00,reg1,Pump_hydro_ST,Electricity,0.0
80,scenario1,2023-05-02 16:00:00,reg1,Pump_hydro_ST,Electricity,0.0
81,scenario1,2023-05-17 21:00:00,reg1,Pump_hydro_ST,Electricity,0.0
82,scenario1,2023-06-02 02:00:00,reg1,Pump_hydro_ST,Electricity,0.0
83,scenario1,2023-06-17 07:00:00,reg1,Pump_hydro_ST,Electricity,0.0
84,scenario1,2023-07-02 12:00:00,reg1,Pump_hydro_ST,Electricity,0.0
85,scenario1,2023-07-17 17:00:00,reg1,Pump_hydro_ST,Electricity,0.0
86,scenario1,2023-08-01 22:00:00,reg1,Pump_hydro_ST,Electricity,0.0
87,scenario1,2023-08-17 03:00:00,reg1,Pump_hydro_ST,Electricity,0.0
88,scenario1,2023-09-01 08:00:00,reg1,Pump_hydro_ST,Electricity,0.0
89,scenario1,2023-09-16 13:00:00,reg1,Pump_hydro_ST,Electricity,0.0
90,scenario1,2023-10-01 18:00:00,reg1,Pump_hydro_ST,Electricity,0.0
91,scenario1,2023-10-16 23:00:00,reg1,Pump_hydro_ST,Electricity,0.0
92,scenario1,2023-11-01 04:00:00,reg1,Pump_hydro_ST,Electricity,0.0
93,scenario1,2023-11-16 09:00:00,reg1,Pump_hydro_ST,Electricity,0.0
94,scenario1,2023-12-01 14:00:00,reg1,Pump_hydro_ST,Electricity,0.0
95,scenario1,2023-12-16 19:00:00,reg1,Pump_hydro_ST,Electricity,0.0
96,scenario1,2024-01-01 00:00:00,reg1,Pump_hydro_ST,Electricity,0.0
97,scenario1,2024-01-16 05:00:00,reg1,Pump_hydro_ST,Electricity,0.0
