,Scenario,Datetime,Region,Technology,Tech category,Value
0,scenario1,2020,reg1,Oil_imports,Supply,10000000000.0
1,scenario1,2021,reg1,Oil_imports,Supply,10000000000.0
2,scenario1,2022,reg1,Oil_imports,Supply,10000000000.0
3,scenario1,2023,reg1,Oil_imports,Supply,10000000000.0
4,scenario1,2024,reg1,Oil_imports,Supply,10000000000.0
5,scenario1,2025,reg1,Oil_imports,Supply,10000000000.0
6,scenario1,2026,reg1,Oil_imports,Supply,10000000000.0
7,scenario1,2027,reg1,Oil_imports,Supply,10000000000.0
8,scenario1,2028,reg1,Oil_imports,Supply,10000000000.0
9,scenario1,2029,reg1,Oil_imports,Supply,10000000000.0
10,scenario1,2030,reg1,Oil_imports,Supply,10000000000.0
11,scenario1,2031,reg1,Oil_imports,Supply,10000000000.0
12,scenario1,2032,reg1,Oil_imports,Supply,10000000000.0
13,scenario1,2033,reg1,Oil_imports,Supply,10000000000.0
14,scenario1,2034,reg1,Oil_imports,Supply,10000000000.0
15,scenario1,2035,reg1,Oil_imports,Supply,10000000000.0
16,scenario1,2036,reg1,Oil_imports,Supply,10000000000.0
17,scenario1,2037,reg1,Oil_imports,Supply,10000000000.0
18,scenario1,2038,reg1,Oil_imports,Supply,10000000000.0
19,scenario1,2039,reg1,Oil_imports,Supply,10000000000.0
20,scenario1,2040,reg1,Oil_imports,Supply,10000000000.0
21,scenario1,2020,reg1,Oil_extraction,Supply,6.53236758
22,scenario1,2021,reg1,Oil_extraction,Supply,9.529926589386422
23,scenario1,2022,reg1,Oil_extraction,Supply,9.20330821038642
24,scenario1,2023,reg1,Oil_extraction,Supply,9.38034155261624
25,scenario1,2024,reg1,Oil_extraction,Supply,12.442619095744623
26,scenario1,2025,reg1,Oil_extraction,Supply,12.116000716744622
27,scenario1,2026,reg1,Oil_extraction,Supply,11.789382337744623
28,scenario1,2027,reg1,Oil_extraction,Supply,24.971727079224536
29,scenario1,2028,reg1,Oil_extraction,Supply,24.645108700224537
30,scenario1,2029,reg1,Oil_extraction,Supply,24.31849032122453
31,scenario1,2030,reg1,Oil_extraction,Supply,23.99187194222453
32,scenario1,2031,reg1,Oil_extraction,Supply,23.66525356322453
33,scenario1,2032,reg1,Oil_extraction,Supply,23.338635184224536
34,scenario1,2033,reg1,Oil_extraction,Supply,23.012016805224533
35,scenario1,2034,reg1,Oil_extraction,Supply,22.68539842622453
36,scenario1,2035,reg1,Oil_extraction,Supply,22.35878004722453
37,scenario1,2036,reg1,Oil_extraction,Supply,22.032161668224536
38,scenario1,2037,reg1,Oil_extraction,Supply,21.705543289224536
39,scenario1,2038,reg1,Oil_extraction,Supply,21.378924910224534
40,scenario1,2039,reg1,Oil_extraction,Supply,21.05230653122453
41,scenario1,2040,reg1,Oil_extraction,Supply,21.84271311911328
42,scenario1,2020,reg1,NG_imports,Supply,10000000000.0
43,scenario1,2021,reg1,NG_imports,Supply,10000000000.0
44,scenario1,2022,reg1,NG_imports,Supply,10000000000.0
45,scenario1,2023,reg1,NG_imports,Supply,10000000000.0
46,scenario1,2024,reg1,NG_imports,Supply,10000000000.0
47,scenario1,2025,reg1,NG_imports,Supply,10000000000.0
48,scenario1,2026,reg1,NG_imports,Supply,10000000000.0
49,scenario1,2027,reg1,NG_imports,Supply,10000000000.0
50,scenario1,2028,reg1,NG_imports,Supply,10000000000.0
51,scenario1,2029,reg1,NG_imports,Supply,10000000000.0
52,scenario1,2030,reg1,NG_imports,Supply,10000000000.0
53,scenario1,2031,reg1,NG_imports,Supply,10000000000.0
54,scenario1,2032,reg1,NG_imports,Supply,10000000000.0
55,scenario1,2033,reg1,NG_imports,Supply,10000000000.0
56,scenario1,2034,reg1,NG_imports,Supply,10000000000.0
57,scenario1,2035,reg1,NG_imports,Supply,10000000000.0
58,scenario1,2036,reg1,NG_imports,Supply,10000000000.0
59,scenario1,2037,reg1,NG_imports,Supply,10000000000.0
60,scenario1,2038,reg1,NG_imports,Supply,10000000000.0
61,scenario1,2039,reg1,NG_imports,Supply,10000000000.0
62,scenario1,2040,reg1,NG_imports,Supply,10000000000.0
63,scenario1,2020,reg1,NG_extraction,Supply,6.001949772
64,scenario1,2021,reg1,NG_extraction,Supply,5.701852283
65,scenario1,2022,reg1,NG_extraction,Supply,5.401754795
66,scenario1,2023,reg1,NG_extraction,Supply,5.101657306
67,scenario1,2024,reg1,NG_extraction,Supply,4.801559817
68,scenario1,2025,reg1,NG_extraction,Supply,105.08945718672818
69,scenario1,2026,reg1,NG_extraction,Supply,104.78935969772816
70,scenario1,2027,reg1,NG_extraction,Supply,104.48926220972818
71,scenario1,2028,reg1,NG_extraction,Supply,104.18916472072816
72,scenario1,2029,reg1,NG_extraction,Supply,103.88906723172818
73,scenario1,2030,reg1,NG_extraction,Supply,103.58896974372816
74,scenario1,2031,reg1,NG_extraction,Supply,103.28887225472818
75,scenario1,2032,reg1,NG_extraction,Supply,110.80164645634792
76,scenario1,2033,reg1,NG_extraction,Supply,115.90887049914387
77,scenario1,2034,reg1,NG_extraction,Supply,115.6087730111439
78,scenario1,2035,reg1,NG_extraction,Supply,127.04411723543215
79,scenario1,2036,reg1,NG_extraction,Supply,126.74401974643216
80,scenario1,2037,reg1,NG_extraction,Supply,134.1134454467371
81,scenario1,2038,reg1,NG_extraction,Supply,133.8133479577371
82,scenario1,2039,reg1,NG_extraction,Supply,133.5132504697371
83,scenario1,2040,reg1,NG_extraction,Supply,9999999999.999998
84,scenario1,2020,reg1,SFF_imports,Supply,10000000000.0
85,scenario1,2021,reg1,SFF_imports,Supply,10000000000.0
86,scenario1,2022,reg1,SFF_imports,Supply,10000000000.0
87,scenario1,2023,reg1,SFF_imports,Supply,10000000000.0
88,scenario1,2024,reg1,SFF_imports,Supply,10000000000.0
89,scenario1,2025,reg1,SFF_imports,Supply,10000000000.0
90,scenario1,2026,reg1,SFF_imports,Supply,10000000000.0
91,scenario1,2027,reg1,SFF_imports,Supply,10000000000.0
