,Scenario,Datetime,Region,Technology,Cost,Value
0,scenario1,2020,reg1,Oil_imports,fixed_cost,0.0
1,scenario1,2021,reg1,Oil_imports,fixed_cost,0.0
2,scenario1,2022,reg1,Oil_imports,fixed_cost,0.0
3,scenario1,2023,reg1,Oil_imports,fixed_cost,0.0
4,scenario1,2024,reg1,Oil_imports,fixed_cost,0.0
5,scenario1,2025,reg1,Oil_imports,fixed_cost,0.0
6,scenario1,2026,reg1,Oil_imports,fixed_cost,0.0
7,scenario1,2027,reg1,Oil_imports,fixed_cost,0.0
8,scenario1,2028,reg1,Oil_imports,fixed_cost,0.0
9,scenario1,2029,reg1,Oil_imports,fixed_cost,0.0
10,scenario1,2030,reg1,Oil_imports,fixed_cost,0.0
11,scenario1,2031,reg1,Oil_imports,fixed_cost,0.0
12,scenario1,2032,reg1,Oil_imports,fixed_cost,0.0
13,scenario1,2033,reg1,Oil_imports,fixed_cost,0.0
14,scenario1,2034,reg1,Oil_imports,fixed_cost,0.0
15,scenario1,2035,reg1,Oil_imports,fixed_cost,0.0
16,scenario1,2036,reg1,Oil_imports,fixed_cost,0.0
17,scenario1,2037,reg1,Oil_imports,fixed_cost,0.0
18,scenario1,2038,reg1,Oil_imports,fixed_cost,0.0
19,scenario1,2039,reg1,Oil_imports,fixed_cost,0.0
20,scenario1,2040,reg1,Oil_imports,fixed_cost,0.0
21,scenario1,2020,reg1,Oil_extraction,fixed_cost,0.0
22,scenario1,2021,reg1,Oil_extraction,fixed_cost,0.0
23,scenario1,2022,reg1,Oil_extraction,fixed_cost,0.0
24,scenario1,2023,reg1,Oil_extraction,fixed_cost,0.0
25,scenario1,2024,reg1,Oil_extraction,fixed_cost,0.0
26,scenario1,2025,reg1,Oil_extraction,fixed_cost,0.0
27,scenario1,2026,reg1,Oil_extraction,fixed_cost,0.0
28,scenario1,2027,reg1,Oil_extraction,fixed_cost,0.0
29,scenario1,2028,reg1,Oil_extraction,fixed_cost,0.0
30,scenario1,2029,reg1,Oil_extraction,fixed_cost,0.0
31,scenario1,2030,reg1,Oil_extraction,fixed_cost,0.0
32,scenario1,2031,reg1,Oil_extraction,fixed_cost,0.0
33,scenario1,2032,reg1,Oil_extraction,fixed_cost,0.0
34,scenario1,2033,reg1,Oil_extraction,fixed_cost,0.0
35,scenario1,2034,reg1,Oil_extraction,fixed_cost,0.0
36,scenario1,2035,reg1,Oil_extraction,fixed_cost,0.0
37,scenario1,2036,reg1,Oil_extraction,fixed_cost,0.0
38,scenario1,2037,reg1,Oil_extraction,fixed_cost,0.0
39,scenario1,2038,reg1,Oil_extraction,fixed_cost,0.0
40,scenario1,2039,reg1,Oil_extraction,fixed_cost,0.0
41,scenario1,2040,reg1,Oil_extraction,fixed_cost,0.0
42,scenario1,2020,reg1,NG_imports,fixed_cost,0.0
43,scenario1,2021,reg1,NG_imports,fixed_cost,0.0
