Scenario,Year,Actualized emission
scenario_1,Y0,559600958.5974308
scenario_1,Y1,566263178.6289597
scenario_1,Y2,537437568.2576799
scenario_1,Y3,799665977.3616214
scenario_1,Y4,845689304.4736834
scenario_1,Y5,814986875.8656305
scenario_1,Y6,786348222.9846275
scenario_1,Y7,759674577.5752463
scenario_1,Y8,734853144.5533028
scenario_1,Y9,709285653.7657781
scenario_1,Y10,681532040.0902817
scenario_1,Y11,658534231.1450335
scenario_1,Y12,637118790.4366425
scenario_1,Y13,617199298.2509652
scenario_1,Y14,599367069.4786525
scenario_1,Y15,583148464.4732087
scenario_1,Y16,565093282.0888252
scenario_1,Y17,548026294.6081482
scenario_1,Y18,540955735.6358545
scenario_1,Y19,532242792.7202008
scenario_1,Y20,529203021.2559282
scenario_1,Y21,526767191.5408957
scenario_1,Y22,523507304.304261
scenario_1,Y23,524255611.27208114
scenario_1,Y24,520289920.0272041
scenario_1,Y25,529277455.3137589
scenario_1,Y26,530608335.9946739
scenario_1,Y27,538082167.2647874
scenario_1,Y28,543833559.0981802
scenario_1,Y29,529301662.0996788
scenario_1,Y30,556920158.0508027
scenario_2,Y0,503001518.186472
scenario_2,Y1,492721835.3284762
scenario_2,Y2,508224084.803257
scenario_2,Y3,506727558.1447594
scenario_2,Y4,533498674.36410606
scenario_2,Y5,534229503.5604729
scenario_2,Y6,514365322.9011518
scenario_2,Y7,492710061.05097175
scenario_2,Y8,466396324.5769498
scenario_2,Y9,454800023.1466948
scenario_2,Y10,443003498.95663214
scenario_2,Y11,418195912.38458633
scenario_2,Y12,402976961.3799414
scenario_2,Y13,397856742.35508686
scenario_2,Y14,392384381.325152
scenario_2,Y15,379824634.8145996
scenario_2,Y16,373848095.0443844
scenario_2,Y17,370955832.2541946
scenario_2,Y18,369403716.6262898
scenario_2,Y19,354470294.6226872
scenario_2,Y20,348511201.29630154
scenario_2,Y21,334632938.8201835
scenario_2,Y22,340374381.3166478
scenario_2,Y23,336366994.9047548
scenario_2,Y24,337377269.9376945
scenario_2,Y25,338440218.8864848
scenario_2,Y26,347510664.9712882
scenario_2,Y27,362734148.49239486
scenario_2,Y28,370399746.8444249
scenario_2,Y29,379266891.2490399
scenario_2,Y30,387867055.97735685
scenario_3,Y0,529786238.5974308
scenario_3,Y1,492263098.0972301
scenario_3,Y2,528074655.0037656
scenario_3,Y3,506783150.0886637
scenario_3,Y4,530535617.42086446
scenario_3,Y5,536622548.62058175
scenario_3,Y6,510008603.3039336
scenario_3,Y7,488429078.945094
scenario_3,Y8,468321423.9650621
scenario_3,Y9,451653566.7176759
scenario_3,Y10,444455285.615082
scenario_3,Y11,422117521.8046157
scenario_3,Y12,407966939.4771265
scenario_3,Y13,408422893.6210776
scenario_3,Y14,405977632.2693174
scenario_3,Y15,386556569.1162437
scenario_3,Y16,383987539.8317176
scenario_3,Y17,382502782.69615424
scenario_3,Y18,377788884.5443229
scenario_3,Y19,363302079.4315633
scenario_3,Y20,356871355.43718576
scenario_3,Y21,346202060.5388766
scenario_3,Y22,347500493.2124104
scenario_3,Y23,344324280.296482
scenario_3,Y24,346548532.7235121
scenario_3,Y25,339289583.2560412
scenario_3,Y26,347334774.0514296
scenario_3,Y27,359652185.47750986
scenario_3,Y28,370246463.3515274
scenario_3,Y29,378992195.102113
scenario_3,Y30,387638485.78089225
scenario_4,Y0,532816238.186472
scenario_4,Y1,514528419.0163416
scenario_4,Y2,522465842.2141605
scenario_4,Y3,508510657.4161692
scenario_4,Y4,551234307.555104
scenario_4,Y5,529056490.0254701
scenario_4,Y6,521708111.9795052
scenario_4,Y7,478803083.6488994
scenario_4,Y8,458776302.7583736
scenario_4,Y9,444777080.57317567
scenario_4,Y10,438345375.1121372
scenario_4,Y11,427927160.4134599
scenario_4,Y12,415040939.3370632
scenario_4,Y13,389302254.2778066
scenario_4,Y14,394497361.23639446
scenario_4,Y15,380805513.7355013
scenario_4,Y16,377152556.7546227
scenario_4,Y17,363411887.7951526
scenario_4,Y18,359483100.77028507
scenario_4,Y19,356629257.28404945
scenario_4,Y20,356831011.8822566
scenario_4,Y21,346666651.2390984
scenario_4,Y22,343523685.2896501
scenario_4,Y23,343285297.7643492
scenario_4,Y24,339677817.49241745
scenario_4,Y25,338425714.57434803
scenario_4,Y26,348512273.2916797
scenario_4,Y27,360422776.74866354
scenario_4,Y28,367321328.3508716
scenario_4,Y29,382034537.64878416
scenario_4,Y30,389618592.5703528
scenario_5,Y0,559600958.5974308
scenario_5,Y1,519272054.6906754
scenario_5,Y2,562418204.6832896
scenario_5,Y3,529450804.2157723
scenario_5,Y4,531899301.4372456
scenario_5,Y5,557257173.8925854
scenario_5,Y6,520258919.2551905
scenario_5,Y7,496098813.3598164
scenario_5,Y8,482114646.2720717
scenario_5,Y9,469104818.21532255
scenario_5,Y10,447854151.9469286
scenario_5,Y11,436223670.8362371
scenario_5,Y12,426562173.9649163
scenario_5,Y13,417649194.7640952
scenario_5,Y14,424023103.516846
scenario_5,Y15,405785021.3406734
scenario_5,Y16,407062542.0368918
scenario_5,Y17,402062033.09199816
scenario_5,Y18,406856240.279738
scenario_5,Y19,388628665.870105
scenario_5,Y20,389711305.6551589
scenario_5,Y21,376900016.3232433
scenario_5,Y22,364612717.0835586
scenario_5,Y23,320134748.34012777
scenario_5,Y24,317933595.10436285
scenario_5,Y25,317211094.5178874
scenario_5,Y26,334156507.2215316
scenario_5,Y27,344267532.2576394
scenario_5,Y28,354771150.57719743
scenario_5,Y29,365664475.758801
scenario_5,Y30,376945139.7860769
