Scenario,Year,Actualized cost
scenario_1,Y0,33574945485.006363
scenario_1,Y1,33902698074.33027
scenario_1,Y2,51384192656.06299
scenario_1,Y3,29088760295.90688
scenario_1,Y4,29079149667.487545
scenario_1,Y5,28250565917.75569
scenario_1,Y6,27207973252.29511
scenario_1,Y7,26133816606.82872
scenario_1,Y8,25113610529.063305
scenario_1,Y9,24153432457.98543
scenario_1,Y10,20886233111.41474
scenario_1,Y11,20085970308.33981
scenario_1,Y12,19385453918.73966
scenario_1,Y13,18428043292.048386
scenario_1,Y14,17872384175.061996
scenario_1,Y15,17420357143.14319
scenario_1,Y16,16939614758.595003
scenario_1,Y17,16840510244.034004
scenario_1,Y18,16176791509.541128
scenario_1,Y19,15987642472.261244
scenario_1,Y20,15165319867.245173
scenario_1,Y21,14840371350.32849
scenario_1,Y22,14637832457.883827
scenario_1,Y23,14449091491.553831
scenario_1,Y24,14137265786.383356
scenario_1,Y25,14195951738.741163
scenario_1,Y26,13964160387.767653
scenario_1,Y27,13588244706.615273
scenario_1,Y28,13546683100.781437
scenario_1,Y29,13184101512.763445
scenario_1,Y30,12982660084.594229
scenario_2,Y0,26570783623.1662
scenario_2,Y1,38113608800.33244
scenario_2,Y2,64656695246.82906
scenario_2,Y3,35530206214.371445
scenario_2,Y4,36638552123.80418
scenario_2,Y5,35806896077.12333
scenario_2,Y6,34863482256.3259
scenario_2,Y7,33592558058.701347
scenario_2,Y8,32471565226.58512
scenario_2,Y9,32326841800.27972
scenario_2,Y10,28796446334.45784
scenario_2,Y11,28065968995.14562
scenario_2,Y12,26821012046.21352
scenario_2,Y13,25118771846.33711
scenario_2,Y14,24114941201.75391
scenario_2,Y15,23317671084.430004
scenario_2,Y16,22804523088.476643
scenario_2,Y17,21959790583.93116
scenario_2,Y18,20929550276.043705
scenario_2,Y19,19937836987.464783
scenario_2,Y20,19026520116.06337
scenario_2,Y21,18657584670.00621
scenario_2,Y22,18231538356.429543
scenario_2,Y23,17924075349.461475
scenario_2,Y24,17112105142.56785
scenario_2,Y25,16950693021.884333
scenario_2,Y26,16935927018.65256
scenario_2,Y27,16270869416.499475
scenario_2,Y28,15905587482.685076
scenario_2,Y29,15872744315.558084
scenario_2,Y30,15227824382.55963
scenario_3,Y0,26091543497.00974
scenario_3,Y1,37909749576.406364
scenario_3,Y2,62592593718.09174
scenario_3,Y3,35672392013.57359
scenario_3,Y4,36640706925.59429
scenario_3,Y5,35718667994.88818
scenario_3,Y6,34841343638.67157
scenario_3,Y7,33470545967.24673
scenario_3,Y8,32004072523.42952
scenario_3,Y9,32305674399.82221
scenario_3,Y10,29341008915.474697
scenario_3,Y11,28271623789.328644
scenario_3,Y12,27156451642.80152
scenario_3,Y13,25621183039.13633
scenario_3,Y14,24531498554.73648
scenario_3,Y15,23811862199.925045
scenario_3,Y16,22876278486.085957
scenario_3,Y17,22435192229.543823
scenario_3,Y18,21498589921.449364
scenario_3,Y19,20391060855.19641
scenario_3,Y20,19441847916.70135
scenario_3,Y21,18915499988.56649
scenario_3,Y22,18339109031.199986
scenario_3,Y23,18014144092.512733
scenario_3,Y24,17912498586.614727
scenario_3,Y25,16969769831.175968
scenario_3,Y26,16896490285.35982
scenario_3,Y27,16313311814.81521
scenario_3,Y28,15997304194.63645
scenario_3,Y29,15963229284.458654
scenario_3,Y30,15309540536.226007
scenario_4,Y0,26539727624.56036
scenario_4,Y1,37839035820.60375
scenario_4,Y2,63847813830.58188
scenario_4,Y3,35349829335.438705
scenario_4,Y4,36649338781.45309
scenario_4,Y5,36009471650.44624
scenario_4,Y6,35176051289.74724
scenario_4,Y7,33578481269.687157
scenario_4,Y8,32686070033.848137
scenario_4,Y9,32404491376.584846
scenario_4,Y10,29232028860.10248
scenario_4,Y11,27533242831.201504
scenario_4,Y12,27008700521.647472
scenario_4,Y13,25490402569.41544
scenario_4,Y14,24612409815.86506
scenario_4,Y15,23350963069.911263
scenario_4,Y16,22806718819.391438
scenario_4,Y17,21816850598.54784
scenario_4,Y18,20828521759.64946
scenario_4,Y19,20006784039.475376
scenario_4,Y20,19178735724.587173
scenario_4,Y21,18865323582.741497
scenario_4,Y22,18092411672.97482
scenario_4,Y23,17773785997.042545
scenario_4,Y24,17312552784.110317
scenario_4,Y25,17072570293.83219
scenario_4,Y26,16824415871.808578
scenario_4,Y27,16251275602.268614
scenario_4,Y28,15869107776.220686
scenario_4,Y29,15982552346.610954
scenario_4,Y30,15441865166.629986
scenario_5,Y0,26060487498.4039
scenario_5,Y1,37238852790.78834
scenario_5,Y2,59332270098.905365
scenario_5,Y3,34971949849.58209
scenario_5,Y4,36329353062.90908
scenario_5,Y5,35357565151.118614
scenario_5,Y6,34400904641.15119
scenario_5,Y7,33045149345.30312
scenario_5,Y8,31712063849.289093
scenario_5,Y9,31557796424.848946
scenario_5,Y10,28470723741.990906
scenario_5,Y11,27771686828.13272
scenario_5,Y12,26886920835.208138
scenario_5,Y13,25244551301.85797
scenario_5,Y14,24532339345.82504
scenario_5,Y15,24076056342.24201
scenario_5,Y16,23300499397.060574
scenario_5,Y17,23373910263.74025
scenario_5,Y18,22329265396.548824
scenario_5,Y19,21239481361.884243
scenario_5,Y20,20258335785.733425
scenario_5,Y21,19747205159.042896
scenario_5,Y22,19237158089.135788
scenario_5,Y23,18567872420.59341
scenario_5,Y24,18479471687.632187
scenario_5,Y25,17936752368.387962
scenario_5,Y26,17242387366.215424
scenario_5,Y27,16427885621.678102
scenario_5,Y28,16200078162.140877
scenario_5,Y29,16410762191.90769
scenario_5,Y30,15515049071.417446
