,Scenario,Year,Timesteps,Region,Technology,Carrier,Value
0,scenario_1,2020,1,reg1,Pump_hydro_ST,Electricity,0.0
1,scenario_1,2020,2,reg1,Pump_hydro_ST,Electricity,0.0
2,scenario_1,2020,3,reg1,Pump_hydro_ST,Electricity,0.0
3,scenario_1,2020,4,reg1,Pump_hydro_ST,Electricity,0.0
4,scenario_1,2020,5,reg1,Pump_hydro_ST,Electricity,0.0
5,scenario_1,2020,6,reg1,Pump_hydro_ST,Electricity,0.0
6,scenario_1,2020,7,reg1,Pump_hydro_ST,Electricity,0.0
7,scenario_1,2020,8,reg1,Pump_hydro_ST,Electricity,0.0
8,scenario_1,2020,9,reg1,Pump_hydro_ST,Electricity,0.0
9,scenario_1,2020,10,reg1,Pump_hydro_ST,Electricity,0.0
10,scenario_1,2020,11,reg1,Pump_hydro_ST,Electricity,0.0
11,scenario_1,2020,12,reg1,Pump_hydro_ST,Electricity,0.0
12,scenario_1,2020,13,reg1,Pump_hydro_ST,Electricity,0.0
13,scenario_1,2020,14,reg1,Pump_hydro_ST,Electricity,0.0
14,scenario_1,2020,15,reg1,Pump_hydro_ST,Electricity,0.0
15,scenario_1,2020,16,reg1,Pump_hydro_ST,Electricity,0.0
16,scenario_1,2020,17,reg1,Pump_hydro_ST,Electricity,0.0
17,scenario_1,2020,18,reg1,Pump_hydro_ST,Electricity,0.0
18,scenario_1,2020,19,reg1,Pump_hydro_ST,Electricity,0.0
19,scenario_1,2020,20,reg1,Pump_hydro_ST,Electricity,0.0
20,scenario_1,2020,21,reg1,Pump_hydro_ST,Electricity,0.0
21,scenario_1,2020,22,reg1,Pump_hydro_ST,Electricity,0.0
22,scenario_1,2020,23,reg1,Pump_hydro_ST,Electricity,0.0
23,scenario_1,2020,24,reg1,Pump_hydro_ST,Electricity,0.0
24,scenario_1,2021,1,reg1,Pump_hydro_ST,Electricity,0.0965709808347475
25,scenario_1,2021,2,reg1,Pump_hydro_ST,Electricity,0.0
26,scenario_1,2021,3,reg1,Pump_hydro_ST,Electricity,0.0
27,scenario_1,2021,4,reg1,Pump_hydro_ST,Electricity,0.0
28,scenario_1,2021,5,reg1,Pump_hydro_ST,Electricity,0.0
29,scenario_1,2021,6,reg1,Pump_hydro_ST,Electricity,0.0
30,scenario_1,2021,7,reg1,Pump_hydro_ST,Electricity,0.0
31,scenario_1,2021,8,reg1,Pump_hydro_ST,Electricity,0.0
32,scenario_1,2021,9,reg1,Pump_hydro_ST,Electricity,0.0
33,scenario_1,2021,10,reg1,Pump_hydro_ST,Electricity,0.0
