,Scenario,Datetime,Region,Technology,Cost,Value
0,operation,2019,reg1,Kerosene_supply,fixed_cost,0.0
1,operation,2019,reg1,Oil_supply,fixed_cost,0.0
2,operation,2019,reg1,BW_supply,fixed_cost,0.0
3,operation,2019,reg1,Diesel_supply,fixed_cost,0.0
4,operation,2019,reg1,Geo_PP,fixed_cost,0.0
5,operation,2019,reg1,Solar_PV_PP,fixed_cost,0.0
6,operation,2019,reg1,Wind_PP,fixed_cost,3327750.0
7,operation,2019,reg1,S_ROR_Hydro_PP,fixed_cost,0.0
8,operation,2019,reg1,L_ROR_Hydro_PP,fixed_cost,2080000.0
9,operation,2019,reg1,L_DAM_Hydro_PP,fixed_cost,0.0
10,operation,2019,reg1,HFO_PP,fixed_cost,5963580.0
11,operation,2019,reg1,HFO_CC_PP,fixed_cost,3801900.000000001
12,operation,2019,reg1,KGT_PP,fixed_cost,0.0
13,operation,2019,reg1,BW_PP,fixed_cost,0.0
14,operation,2019,reg1,Diesel_engine_pp,fixed_cost,710000.0
15,operation,2019,reg1,Elec_transmission_distribution,fixed_cost,0.0
16,operation,2019,reg2,Kerosene_supply,fixed_cost,0.0
17,operation,2019,reg2,Oil_supply,fixed_cost,0.0
18,operation,2019,reg2,BW_supply,fixed_cost,0.0
19,operation,2019,reg2,Diesel_supply,fixed_cost,0.0
20,operation,2019,reg2,Geo_PP,fixed_cost,0.0
21,operation,2019,reg2,Solar_PV_PP,fixed_cost,1204000.0
22,operation,2019,reg2,Wind_PP,fixed_cost,0.0
23,operation,2019,reg2,S_ROR_Hydro_PP,fixed_cost,0.0
24,operation,2019,reg2,L_ROR_Hydro_PP,fixed_cost,0.0
25,operation,2019,reg2,L_DAM_Hydro_PP,fixed_cost,0.0
26,operation,2019,reg2,HFO_PP,fixed_cost,8867250.0
27,operation,2019,reg2,HFO_CC_PP,fixed_cost,0.0
28,operation,2019,reg2,KGT_PP,fixed_cost,0.0
29,operation,2019,reg2,BW_PP,fixed_cost,2741400.0
30,operation,2019,reg2,Diesel_engine_pp,fixed_cost,521850.0
31,operation,2019,reg2,Elec_transmission_distribution,fixed_cost,0.0
32,operation,2019,reg3,Kerosene_supply,fixed_cost,0.0
33,operation,2019,reg3,Oil_supply,fixed_cost,0.0
34,operation,2019,reg3,BW_supply,fixed_cost,0.0
35,operation,2019,reg3,Diesel_supply,fixed_cost,0.0
36,operation,2019,reg3,Geo_PP,fixed_cost,94680800.0
37,operation,2019,reg3,Solar_PV_PP,fixed_cost,0.0
38,operation,2019,reg3,Wind_PP,fixed_cost,0.0
39,operation,2019,reg3,S_ROR_Hydro_PP,fixed_cost,113220.0
40,operation,2019,reg3,L_ROR_Hydro_PP,fixed_cost,320000.0
41,operation,2019,reg3,L_DAM_Hydro_PP,fixed_cost,7208000.0
