Year,Actualized emission
Y0,559600958.5974308
Y1,566263178.6289597
Y2,537437568.2576799
Y3,799665977.3616214
Y4,845689304.4736834
Y5,814986875.8656305
Y6,786348222.9846275
Y7,759674577.5752463
Y8,734853144.5533028
Y9,709285653.7657781
Y10,681532040.0902817
Y11,658534231.1450335
Y12,637118790.4366425
Y13,617199298.2509652
Y14,599367069.4786525
Y15,583148464.4732087
Y16,565093282.0888252
Y17,548026294.6081482
Y18,540955735.6358545
Y19,532242792.7202008
Y20,529203021.2559282
Y21,526767191.54089564
Y22,523507304.304261
Y23,524255611.27208114
Y24,520289920.0272041
Y25,529277455.31375885
Y26,530608335.9946739
Y27,538082167.2647874
Y28,543833559.0981802
Y29,529301662.09967875
Y30,556920158.0508027
