Year,Actualized cost
Y0,26570783623.1662
Y1,38113608800.33244
Y2,64656695246.82906
Y3,35530206214.371445
Y4,36638552123.80418
Y5,35806896077.12333
Y6,34863482256.3259
Y7,33592558058.701347
Y8,32471565226.585117
Y9,32326841800.27972
Y10,28796446334.45784
Y11,28065968995.14562
Y12,26821012046.213516
Y13,25118771846.33711
Y14,24114941201.75391
Y15,23317671084.430004
Y16,22804523088.476643
Y17,21959790583.931156
Y18,20929550276.043705
Y19,19937836987.464783
Y20,19026520116.063366
Y21,18657584670.00621
Y22,18231538356.429546
Y23,17924075349.461475
Y24,17112105142.56785
Y25,16950693021.884333
Y26,16935927018.65256
Y27,16270869416.499477
Y28,15905587482.685076
Y29,15872744315.558084
Y30,15227824382.55963
