Scenario,Year,Actualized emission
scenario1,Y0,932210427.8177786
scenario1,Y1,833132873.8968855
scenario1,Y2,788881032.5566858
scenario1,Y3,757123583.3378311
scenario1,Y4,726051817.2544441
scenario1,Y5,696222433.4662143
scenario1,Y6,649682471.0111588
scenario1,Y7,610390574.0206697
scenario1,Y8,572915621.5189977
scenario1,Y9,538372087.2457776
scenario1,Y10,504090664.5099785
scenario1,Y11,471911618.4073608
scenario1,Y12,443747411.3068156
scenario1,Y13,418050494.46597946
scenario1,Y14,394297039.0641722
scenario1,Y15,371778475.6910614
scenario1,Y16,347662627.98298484
scenario1,Y17,327947397.2513533
scenario1,Y18,309325345.3122197
scenario1,Y19,291903296.34618986
scenario1,Y20,275082258.3690978
scenario1,Y21,262086205.14752203
scenario1,Y22,249245714.11197117
scenario1,Y23,237259157.89817223
scenario1,Y24,225347022.6385944
scenario1,Y25,214383245.6329804
scenario1,Y26,204167643.0610101
scenario1,Y27,194451923.47662625
scenario1,Y28,185192308.0729773
scenario1,Y29,176373626.73616883
scenario1,Y30,167920834.4665886
scenario1,Y31,159924604.25389388
scenario1,Y32,152272624.30676094
scenario1,Y33,145021546.95881993
scenario1,Y34,138251967.1155942
scenario1,Y35,131484741.88690166
scenario1,Y36,125275064.86022668
scenario1,Y37,119309585.58116826
scenario1,Y38,113628176.74396975
scenario1,Y39,108217311.18473312
scenario1,Y40,103064105.890222
scenario1,Y41,98156291.32402097
scenario1,Y42,93482182.21335328
scenario1,Y43,89030649.72700313
scenario1,Y44,84800440.57354629
scenario1,Y45,80834321.66121362
scenario1,Y46,76834029.04018983
scenario1,Y47,73073607.80960818
scenario1,Y48,69600016.64176968
scenario1,Y49,66331696.72905508
scenario1,Y50,63453394.93539722
scenario2,Y0,1011301713.5593356
scenario2,Y1,921822141.9375068
scenario2,Y2,890861546.3503703
scenario2,Y3,856454836.0995932
scenario2,Y4,825241831.1200308
scenario2,Y5,795053233.8335333
scenario2,Y6,736075683.7176781
scenario2,Y7,680909147.294545
scenario2,Y8,629487104.1586671
scenario2,Y9,582437431.9628206
scenario2,Y10,539415119.2301819
scenario2,Y11,501004175.8542142
scenario2,Y12,467685058.9613859
scenario2,Y13,436172127.4411017
scenario2,Y14,408747078.4034949
scenario2,Y15,383085609.906476
scenario2,Y16,356614553.70167726
scenario2,Y17,332355576.50750285
scenario2,Y18,307214883.32089394
scenario2,Y19,285416484.08540994
scenario2,Y20,264189535.1066403
scenario2,Y21,246551782.74632788
scenario2,Y22,229307391.57555047
scenario2,Y23,213746515.52022612
scenario2,Y24,198120323.48655984
scenario2,Y25,183433230.5218145
scenario2,Y26,173824509.2351977
scenario2,Y27,164921978.65075108
scenario2,Y28,156343573.5842079
scenario2,Y29,148081271.32509047
scenario2,Y30,140234538.43385956
scenario2,Y31,133558833.64958397
scenario2,Y32,127198889.19007994
scenario2,Y33,121141799.22864756
scenario2,Y34,115686659.15889455
scenario2,Y35,109786635.39161807
scenario2,Y36,104646840.92745712
scenario2,Y37,99662933.42586537
scenario2,Y38,94902897.39399225
scenario2,Y39,90383711.80380212
scenario2,Y40,86079725.52743058
scenario2,Y41,81951156.63597575
scenario2,Y42,78072654.35661869
scenario2,Y43,74364260.26466194
scenario2,Y44,70828758.82699682
scenario2,Y45,67532088.47219402
scenario2,Y46,64144396.15454842
scenario2,Y47,60860511.39757636
scenario2,Y48,58007701.12916204
scenario2,Y49,55362826.17982235
scenario2,Y50,53058309.34024375
scenario3,Y0,1011301713.5593356
scenario3,Y1,919362466.5609444
scenario3,Y2,888115650.6875602
scenario3,Y3,749519679.0655049
scenario3,Y4,718152315.2590512
scenario3,Y5,687854766.1244501
scenario3,Y6,635704853.0865222
scenario3,Y7,586868278.8443922
scenario3,Y8,542707237.1290833
scenario3,Y9,501285934.44139487
scenario3,Y10,462468204.4077558
scenario3,Y11,431307279.3614556
scenario3,Y12,402817806.8871852
scenario3,Y13,376088458.4836577
scenario3,Y14,351437603.4931033
scenario3,Y15,328492248.5107268
scenario3,Y16,302772687.87811726
scenario3,Y17,278778774.8035549
scenario3,Y18,256345730.99097863
scenario3,Y19,235220720.32004705
scenario3,Y20,215706717.4859901
scenario3,Y21,197673445.67081276
scenario3,Y22,181031593.66701955
scenario3,Y23,165826083.7768323
scenario3,Y24,151128299.29217836
scenario3,Y25,137999496.32192808
scenario3,Y26,130813317.89619207
scenario3,Y27,124004099.25025076
scenario3,Y28,117546748.7794417
scenario3,Y29,111423303.772554
scenario3,Y30,105559042.17788588
scenario3,Y31,100533707.23336545
scenario3,Y32,95746387.8413004
scenario3,Y33,91187036.03933372
scenario3,Y34,87079441.37224203
scenario3,Y35,82615834.75043726
scenario3,Y36,78770790.22942118
scenario3,Y37,75019800.21849637
scenario3,Y38,71447428.77952035
scenario3,Y39,68045170.26620986
scenario3,Y40,64804924.063057
scenario3,Y41,61718975.298149526
scenario3,Y42,58779976.47442812
scenario3,Y43,55980929.97564582
scenario3,Y44,53315171.40537697
scenario3,Y45,50917013.57120474
scenario3,Y46,48242709.14942048
scenario3,Y47,45640609.27147788
scenario3,Y48,43339490.898874365
scenario3,Y49,41253856.85482747
scenario3,Y50,39270355.85997834
scenario4,Y0,1011301713.5593356
scenario4,Y1,919362466.5609444
scenario4,Y2,888148551.3657544
scenario4,Y3,749519679.0655049
scenario4,Y4,718152315.2590512
scenario4,Y5,687854766.1244501
scenario4,Y6,635704853.0865222
scenario4,Y7,586868278.8443922
scenario4,Y8,542703208.684326
scenario4,Y9,501281700.87079024
scenario4,Y10,462461298.93237
scenario4,Y11,431262935.49252456
scenario4,Y12,402797344.17183024
scenario4,Y13,376067022.530331
scenario4,Y14,351427473.76961774
scenario4,Y15,328484664.1250442
scenario4,Y16,302771114.03406066
scenario4,Y17,278775381.42539626
scenario4,Y18,256342604.1941558
scenario4,Y19,235219722.95624772
scenario4,Y20,215706787.6577313
scenario4,Y21,197665819.35102785
scenario4,Y22,181024307.74339196
scenario4,Y23,165825145.34720576
scenario4,Y24,151127707.06526065
scenario4,Y25,138006898.88735628
scenario4,Y26,130786968.89992544
scenario4,Y27,124041795.70979844
scenario4,Y28,117582763.71488132
scenario4,Y29,111409772.7516766
scenario4,Y30,105546207.61765958
scenario4,Y31,100521483.84267372
scenario4,Y32,95734746.5168321
scenario4,Y33,91175949.06364962
scenario4,Y34,87069068.41080955
scenario4,Y35,82605401.2524908
scenario4,Y36,78761212.88297126
scenario4,Y37,75010678.9361631
scenario4,Y38,71438741.84396486
scenario4,Y39,68036896.99425225
scenario4,Y40,64797044.7564307
scenario4,Y41,61711471.19660067
scenario4,Y42,58772829.71104826
scenario4,Y43,55998065.561593056
scenario4,Y44,53331491.01104101
scenario4,Y45,50934299.15477381
scenario4,Y46,48243794.225595936
scenario4,Y47,45640618.47291349
scenario4,Y48,43338932.71335289
scenario4,Y49,41253326.35042675
scenario4,Y50,39268683.51789158
scenario5,Y0,1011301713.5593356
scenario5,Y1,919397195.8438544
scenario5,Y2,888148551.3657544
scenario5,Y3,749519679.0655049
scenario5,Y4,718152315.2590512
scenario5,Y5,687854766.1244501
scenario5,Y6,635704853.0865222
scenario5,Y7,586868278.8443922
scenario5,Y8,542701320.5803794
scenario5,Y9,501279902.67655534
scenario5,Y10,462459297.9951275
scenario5,Y11,431250545.1510021
scenario5,Y12,402794504.0064984
scenario5,Y13,376067408.1489708
scenario5,Y14,351428585.6505901
scenario5,Y15,328485712.42923576
scenario5,Y16,302772386.49266493
scenario5,Y17,278775382.63696474
scenario5,Y18,256342605.3441432
scenario5,Y19,235219724.0477881
scenario5,Y20,215706788.69379908
scenario5,Y21,197666028.40236983
scenario5,Y22,181024507.43843395
scenario5,Y23,165825088.43620533
scenario5,Y24,151127755.92240125
scenario5,Y25,138006038.13951755
scenario5,Y26,130786149.14007902
scenario5,Y27,124041603.43720166
scenario5,Y28,117582638.0673942
scenario5,Y29,111409735.05213211
scenario5,Y30,105546223.9821172
scenario5,Y31,100521499.42787144
scenario5,Y32,95734761.35987756
scenario5,Y33,91175963.1998834
scenario5,Y34,87069081.59739392
scenario5,Y35,82605414.60197644
scenario5,Y36,78761225.09438148
scenario5,Y37,75010690.5660776
scenario5,Y38,71438752.92007391
scenario5,Y39,68036907.54292753
scenario5,Y40,64797054.80278812
scenario5,Y41,61711480.76456011
scenario5,Y42,58772838.82339058
scenario5,Y43,55998065.56159306
scenario5,Y44,53331491.011041015
scenario5,Y45,50934295.758279055
scenario5,Y46,48243735.46628226
scenario5,Y47,45640600.27367401
scenario5,Y48,43338932.71335289
scenario5,Y49,41253326.35042675
scenario5,Y50,39268215.12364597
scenario6,Y0,1011301713.5593356
scenario6,Y1,921829958.798607
scenario6,Y2,890875898.6217753
scenario6,Y3,856474257.3788903
scenario6,Y4,825264680.2905704
scenario6,Y5,795077703.4704456
scenario6,Y6,736098393.2828555
scenario6,Y7,680928361.6174284
scenario6,Y8,629501263.2413894
scenario6,Y9,582445136.938011
scenario6,Y10,539415119.2301822
scenario6,Y11,501004175.8542143
scenario6,Y12,467685058.9613859
scenario6,Y13,436172127.4411018
scenario6,Y14,408747078.4034949
scenario6,Y15,383085609.9064761
scenario6,Y16,356726303.8049105
scenario6,Y17,332498634.91838425
scenario6,Y18,307513856.10674226
scenario6,Y19,285797281.3766684
scenario6,Y20,264642837.73427907
scenario6,Y21,247082283.19108596
scenario6,Y22,229898608.14767537
scenario6,Y23,214388248.6674248
scenario6,Y24,198810423.6833052
scenario6,Y25,184165313.0949725
scenario6,Y26,174516866.8414069
scenario6,Y27,165581341.65585288
scenario6,Y28,156963187.13594323
scenario6,Y29,148667227.80190915
scenario6,Y30,140788939.90060344
scenario6,Y31,134086710.85350442
scenario6,Y32,127701629.38428992
scenario6,Y33,121620599.41360945
scenario6,Y34,116138958.81314307
scenario6,Y35,110220921.27366967
scenario6,Y36,105060446.52941102
scenario6,Y37,100056843.52296431
scenario6,Y38,95278230.16353148
scenario6,Y39,90741171.58431569
scenario6,Y40,86420163.41363397
scenario6,Y41,82275383.19426468
scenario6,Y42,78381441.55498908
scenario6,Y43,74658188.94352747
scenario6,Y44,71108837.91848926
