Scenario,Year,Actualized cost
scenario1,Y0,65473794817.97599
scenario1,Y1,92594467247.51848
scenario1,Y2,142905103685.94708
scenario1,Y3,78534244486.8461
scenario1,Y4,76549602203.04253
scenario1,Y5,77396185981.06363
scenario1,Y6,72880085997.1499
scenario1,Y7,69179745217.1355
scenario1,Y8,65298899471.16651
scenario1,Y9,62040303519.97325
scenario1,Y10,59841525080.59923
scenario1,Y11,54381706184.14896
scenario1,Y12,49763281045.37234
scenario1,Y13,46566357842.31633
scenario1,Y14,44352566997.37189
scenario1,Y15,43201532095.50883
scenario1,Y16,41601687635.13899
scenario1,Y17,39489331746.530525
scenario1,Y18,37070229293.03552
scenario1,Y19,35735477976.06498
scenario1,Y20,33237122017.54753
scenario1,Y21,31794151400.56831
scenario1,Y22,29686863611.511883
scenario1,Y23,28271365860.863613
scenario1,Y24,26428136796.860588
scenario1,Y25,25836776980.98768
scenario1,Y26,24944178071.22659
scenario1,Y27,22710604802.41545
scenario1,Y28,21753200764.25437
scenario1,Y29,20469689658.246864
scenario1,Y30,20144247674.61556
scenario1,Y31,18581744910.145046
scenario1,Y32,17626455860.293625
scenario1,Y33,16684505395.56896
scenario1,Y34,16056309076.031818
scenario1,Y35,15360073019.70832
scenario1,Y36,14486581460.709404
scenario1,Y37,13615461059.401669
scenario1,Y38,12960298664.873669
scenario1,Y39,12328328063.196594
scenario1,Y40,11863295565.93038
scenario1,Y41,11235946089.522331
scenario1,Y42,10592639230.24235
scenario1,Y43,10061428233.203403
scenario1,Y44,9579921813.508514
scenario1,Y45,9106841030.091097
scenario1,Y46,8650267274.529116
scenario1,Y47,8211875811.882242
scenario1,Y48,7811243266.009544
scenario1,Y49,7472548358.355533
scenario1,Y50,7153971036.387995
scenario2,Y0,68121070383.16155
scenario2,Y1,94954019791.21613
scenario2,Y2,150951875898.8308
scenario2,Y3,85790387526.15369
scenario2,Y4,83249067214.8744
scenario2,Y5,80891682498.41347
scenario2,Y6,75131719689.13716
scenario2,Y7,69541843176.17036
scenario2,Y8,64923494112.72028
scenario2,Y9,61678981199.862175
scenario2,Y10,58671261906.11983
scenario2,Y11,53288010826.89063
scenario2,Y12,50160167082.96927
scenario2,Y13,46967359466.32405
scenario2,Y14,45249122374.4973
scenario2,Y15,43441762426.99326
scenario2,Y16,41887046893.77365
scenario2,Y17,39482317068.964325
scenario2,Y18,36964728821.78614
scenario2,Y19,36856207854.11474
scenario2,Y20,33323568827.055298
scenario2,Y21,32020040607.89374
scenario2,Y22,30315434671.454063
scenario2,Y23,28596001676.88703
scenario2,Y24,26760744915.058357
scenario2,Y25,25877741986.51269
scenario2,Y26,24298878700.825413
scenario2,Y27,22659491983.45648
scenario2,Y28,21561448584.305084
scenario2,Y29,20362194236.12296
scenario2,Y30,19193377157.265205
scenario2,Y31,18003298059.592354
scenario2,Y32,16849216654.21423
scenario2,Y33,16174319120.262026
scenario2,Y34,15145563650.251242
scenario2,Y35,14509327834.258364
scenario2,Y36,13578398650.465582
scenario2,Y37,12912811303.972084
scenario2,Y38,12289042972.172398
scenario2,Y39,11678953090.93665
scenario2,Y40,11282949225.170015
scenario2,Y41,10700799957.13936
scenario2,Y42,10164738175.66458
scenario2,Y43,9612416733.211998
scenario2,Y44,9160929791.202938
scenario2,Y45,8671340433.57093
scenario2,Y46,8165493282.931752
scenario2,Y47,7742582620.795333
scenario2,Y48,7397213918.27292
scenario2,Y49,7093641312.339587
scenario2,Y50,6802430518.037097
scenario3,Y0,68121070383.16155
scenario3,Y1,94954019791.21613
scenario3,Y2,152014964683.8385
scenario3,Y3,86772063527.56528
scenario3,Y4,84160681716.33199
scenario3,Y5,81732919558.42151
scenario3,Y6,75906861139.99979
scenario3,Y7,70255252936.32129
scenario3,Y8,65596812325.49631
scenario3,Y9,62316700982.5772
