,Scenario,Datetime,Region,Technology,Emission,Value
0,scenario1,2020,reg1,Oil_supply,CO2,40861642.58735229
1,scenario1,2021,reg1,Oil_supply,CO2,41323876.692769006
2,scenario1,2022,reg1,Oil_supply,CO2,42480005.70619236
3,scenario1,2023,reg1,Oil_supply,CO2,42248344.9036025
4,scenario1,2024,reg1,Oil_supply,CO2,42710579.00901924
5,scenario1,2025,reg1,Oil_supply,CO2,43172813.11443598
6,scenario1,2026,reg1,Oil_supply,CO2,42987835.51291636
7,scenario1,2027,reg1,Oil_supply,CO2,42802857.91139671
8,scenario1,2028,reg1,Oil_supply,CO2,42617880.30987708
9,scenario1,2029,reg1,Oil_supply,CO2,42432902.70835742
10,scenario1,2030,reg1,Oil_supply,CO2,42247925.10683778
11,scenario1,2031,reg1,Oil_supply,CO2,42062947.505318135
12,scenario1,2032,reg1,Oil_supply,CO2,41877969.9037985
13,scenario1,2033,reg1,Oil_supply,CO2,41692992.30227885
14,scenario1,2034,reg1,Oil_supply,CO2,41508014.70075922
15,scenario1,2035,reg1,Oil_supply,CO2,40974840.87656477
16,scenario1,2036,reg1,Oil_supply,CO2,37449620.33573724
17,scenario1,2037,reg1,Oil_supply,CO2,37273471.09993332
18,scenario1,2038,reg1,Oil_supply,CO2,37097321.864129454
19,scenario1,2039,reg1,Oil_supply,CO2,36921172.62832554
20,scenario1,2040,reg1,Oil_supply,CO2,36745023.39252163
21,scenario1,2041,reg1,Oil_supply,CO2,36736939.520384125
22,scenario1,2042,reg1,Oil_supply,CO2,36728855.64824661
23,scenario1,2043,reg1,Oil_supply,CO2,36720771.7761091
24,scenario1,2044,reg1,Oil_supply,CO2,36712687.90397164
25,scenario1,2045,reg1,Oil_supply,CO2,36704604.03183416
26,scenario1,2046,reg1,Oil_supply,CO2,36704604.03183417
27,scenario1,2047,reg1,Oil_supply,CO2,36704604.03183415
28,scenario1,2048,reg1,Oil_supply,CO2,36704604.03183415
29,scenario1,2049,reg1,Oil_supply,CO2,36704604.03183415
30,scenario1,2050,reg1,Oil_supply,CO2,36704604.03183415
31,scenario1,2051,reg1,Oil_supply,CO2,36704604.03183415
32,scenario1,2052,reg1,Oil_supply,CO2,36704604.03183415
33,scenario1,2053,reg1,Oil_supply,CO2,36704604.03183415
34,scenario1,2054,reg1,Oil_supply,CO2,36704604.03183415
35,scenario1,2055,reg1,Oil_supply,CO2,36704604.03183415
36,scenario1,2056,reg1,Oil_supply,CO2,36704604.03183415
37,scenario1,2057,reg1,Oil_supply,CO2,36704604.03183415
38,scenario1,2058,reg1,Oil_supply,CO2,36704604.03183415
39,scenario1,2059,reg1,Oil_supply,CO2,36704604.03183415
40,scenario1,2060,reg1,Oil_supply,CO2,36704604.03183415
41,scenario1,2061,reg1,Oil_supply,CO2,36704604.03183415
