Year,Actualized cost
Y0,65473794817.97599
Y1,92594467247.51848
Y2,142905103685.94708
Y3,78534244486.8461
Y4,76549602203.04253
Y5,77396185981.06363
Y6,72880085997.14989
Y7,69179745217.13551
Y8,65298899471.16651
Y9,62040303519.97325
Y10,59841525080.59922
Y11,54381706184.14896
Y12,49763281045.372345
Y13,46566357842.31633
Y14,44352566997.3719
Y15,43201532095.50883
Y16,41601687635.13898
Y17,39489331746.53052
Y18,37070229293.03555
Y19,35735477976.064995
Y20,33237122017.547535
Y21,31794151400.568295
Y22,29686863611.51187
Y23,28271365860.863617
Y24,26428136796.860603
Y25,25836776980.98768
Y26,24944178071.226578
Y27,22710604802.415447
Y28,21753200764.254375
Y29,20469689658.246857
Y30,20144247674.61556
Y31,18581744910.1451
Y32,17626455860.29357
Y33,16684505395.568956
Y34,16056309076.031818
Y35,15360073019.70832
Y36,14486581460.7094
Y37,13615461059.401667
Y38,12960298664.873667
Y39,12328328063.196594
Y40,11863295565.930378
Y41,11235946089.522331
Y42,10592639230.242352
Y43,10061428233.203405
Y44,9579921813.508514
Y45,9106841030.091097
Y46,8650267274.529114
Y47,8211875811.882242
Y48,7811243266.009544
Y49,7472548358.355533
Y50,7153971036.387997
