Year,Actualized emission
Y0,907372520.5918913
Y1,817298723.9150186
Y2,783750383.9971007
Y3,748676297.4518554
Y4,713975718.6886249
Y5,679981741.0037568
Y6,630588041.4541392
Y7,585179649.6410687
Y8,544757994.31396
Y9,507525233.2597081
Y10,472509087.2984034
Y11,439959453.2583973
Y12,411209103.28084105
Y13,383871769.95045084
Y14,358607955.947379
Y15,335091786.0132375
Y16,315066714.17062795
Y17,296077028.4245664
Y18,276944895.9636426
Y19,259681908.92207134
Y20,243436182.3585951
Y21,229764344.13121796
Y22,216268965.18355602
Y23,203634936.4738462
Y24,191493281.02516565
Y25,180168476.2712081
Y26,170783024.22088104
Y27,161875372.5870163
Y28,153426609.7851556
Y29,145415239.17990556
Y30,137821474.95318338
Y31,131263870.42915694
Y32,125013209.93253042
Y33,119060199.93574324
Y34,113577180.35357518
Y35,107897652.91033489
Y36,102848677.19316983
Y37,97951121.13635223
Y38,93286782.03462116
Y39,88844554.31868681
Y40,84613861.2558922
Y41,80577710.03111081
Y42,76743072.25091492
Y43,73097376.58758321
Y44,69622788.66309318
Y45,66390888.309793815
Y46,63103349.00602711
Y47,59853817.028986625
Y48,56926940.87233659
Y49,54210268.00666208
Y50,51617398.81891143
