Year,Actualized cost
Y0,68121070383.391655
Y1,94954019738.67677
Y2,150951875929.63223
Y3,85790387478.51242
Y4,83249067207.71413
Y5,80891682478.59029
Y6,75131719658.56805
Y7,69541843268.32738
Y8,64924464376.83908
Y9,61678781211.15012
Y10,58725865746.7647
Y11,53281221010.17355
Y12,50103796277.03087
Y13,46992867136.32956
Y14,44551280655.56434
Y15,42521301326.14735
Y16,40446486343.81539
Y17,38281684636.26474
Y18,36431889304.192535
Y19,35727421205.74071
Y20,32985384949.252674
Y21,31271818820.4128
Y22,30096399588.531673
Y23,28278937909.83811
Y24,26529833718.137062
Y25,26301748075.291485
Y26,24931397675.503464
Y27,23098326858.268333
Y28,21898441703.70477
Y29,20666671388.496334
Y30,19482585183.470646
Y31,18291799746.381393
Y32,17125578888.715733
Y33,16333031085.026249
Y34,15468281325.481405
Y35,14757551192.263882
Y36,13810935789.49003
Y37,13131941085.864351
Y38,12498189760.611715
Y39,11865945558.688356
Y40,11403515194.098232
Y41,10800271918.43968
Y42,10280818286.264275
Y43,9757426136.490524
Y44,9274478255.0554
Y45,8801631376.20885
Y46,8328394459.288818
Y47,7893857476.157749
Y48,7509460318.180938
Y49,7148674635.159715
Y50,6846798795.74938
