Year,Actualized emission
Y0,907372520.5918913
Y1,814752458.4928515
Y2,780911736.8825883
Y3,724285783.7772652
Y4,691782952.2715263
Y5,659384958.0013285
Y6,611248190.0040311
Y7,566966756.5971278
Y8,526597223.5516035
Y9,487285174.07997113
Y10,459393852.59075844
Y11,430308860.872678
Y12,403170340.9322943
Y13,376845376.51103157
Y14,334411263.0989983
Y15,312203049.11070156
Y16,290267432.6329979
Y17,267657380.5031791
Y18,246298841.88451132
Y19,226956593.58298722
Y20,209355992.30349576
Y21,193652653.88160703
Y22,179367902.98441374
Y23,165737850.1542942
Y24,152869692.7795733
Y25,141282127.80547872
Y26,134042642.15075555
Y27,127075833.46398634
Y28,120512481.78353313
Y29,114269147.3946062
Y30,108351132.66191891
Y31,103196877.77080983
Y32,98282740.73410459
Y33,93602610.22295675
Y34,89310245.24948484
Y35,84843046.04512367
Y36,80864446.36252324
Y37,77013758.44049832
Y38,73346436.6099984
Y39,69853179.02754289
Y40,66524005.148526244
Y41,63354303.10492937
Y42,60341606.785615906
Y43,57475513.889819704
Y44,54803711.21949533
Y45,52414640.29605083
Y46,49799914.33036329
Y47,47577290.961692706
Y48,45220573.199808255
Y49,43088090.27403652
Y50,41055229.13440879
