Year,Actualized cost
Y0,68148060103.0502
Y1,94974693458.7047
Y2,158993382594.91537
Y3,91125543100.26222
Y4,88182723736.16895
Y5,85496865074.5104
Y6,80486635436.87747
Y7,73683111376.99776
Y8,69067753544.41606
Y9,64512117770.306854
Y10,60140187236.010475
Y11,56384401288.70168
Y12,58781326634.34782
Y13,49234538282.02433
Y14,45561448046.446724
Y15,43946232595.37168
Y16,41244013325.678116
Y17,39333806679.30201
Y18,37766386970.829704
Y19,36553354608.663536
Y20,34047377824.024837
Y21,31707480604.766815
Y22,30867929241.79902
Y23,29245823758.551247
Y24,27272463531.19557
Y25,27027652676.364197
Y26,25727928299.547993
Y27,24225235047.61949
Y28,22573945105.904312
Y29,21330159479.50397
Y30,20122124569.9671
Y31,19169488257.608047
Y32,17705707273.243458
Y33,16856529019.098639
Y34,15892597907.14105
Y35,14964876706.973047
Y36,14256649423.510561
Y37,13563874031.552631
Y38,12905984408.970182
Y39,12271640598.301167
Y40,11776642188.480743
Y41,11189149675.92971
Y42,10840803482.955841
Y43,10106110713.773857
Y44,9560049797.741817
Y45,9077544795.819004
Y46,8601938372.677126
Y47,8166565454.578376
Y48,7757333365.8323965
Y49,7405559826.342219
Y50,7087959583.850174
