Year,Actualized cost
Y0,68148060103.0502
Y1,94974693458.7047
Y2,158993382594.91537
Y3,91125543100.26222
Y4,88182723736.16893
Y5,85496865074.51042
Y6,80486635436.87747
Y7,73683111376.99774
Y8,69067753544.41606
Y9,64366856745.89695
Y10,60161873493.52249
Y11,56405077917.04437
Y12,59380769802.129944
Y13,49331668005.94167
Y14,45209501206.86055
Y15,42836336488.725365
Y16,40433928554.80499
Y17,39432856026.02318
Y18,37555312157.56491
Y19,37179674563.79442
Y20,33427725267.13768
Y21,32015804932.116623
Y22,30487672839.491657
Y23,29312876210.229992
Y24,27200758403.996716
Y25,27180348450.165646
Y26,25471837812.54364
Y27,24010245465.834236
Y28,22362987912.762684
Y29,21106199770.799942
Y30,19912871424.09847
Y31,18989157158.727047
Y32,17520737654.49144
Y33,16661552090.098347
Y34,15683436205.759823
Y35,14806595289.83065
Y36,14103159509.384787
Y37,13417693160.95666
Y38,12766764532.212118
Y39,12143780361.10022
Y40,11650211004.346952
Y41,11069031850.083212
Y42,10699982169.079195
Y43,9984582058.438545
Y44,9462201010.156675
Y45,8967177205.29081
Y46,8518388549.14523
Y47,8072385888.916746
Y48,7662665516.294987
Y49,7317072712.600986
Y50,7003449571.016433
