,Datetime,Region,Technology,Emission,Value
0,2020,reg1,Oil_supply,CO2,38300580.562091954
1,2021,reg1,Oil_supply,CO2,38901142.58803843
2,2022,reg1,Oil_supply,CO2,41754627.647854224
3,2023,reg1,Oil_supply,CO2,40083395.32075464
4,2024,reg1,Oil_supply,CO2,40665086.027524374
5,2025,reg1,Oil_supply,CO2,41240486.294568524
6,2026,reg1,Oil_supply,CO2,40092899.37829078
7,2027,reg1,Oil_supply,CO2,38926577.11924154
8,2028,reg1,Oil_supply,CO2,37741721.808413446
9,2029,reg1,Oil_supply,CO2,36538544.699670136
10,2030,reg1,Oil_supply,CO2,35317266.147524565
11,2031,reg1,Oil_supply,CO2,34973548.8635022
12,2032,reg1,Oil_supply,CO2,34632580.816739105
13,2033,reg1,Oil_supply,CO2,34436903.339440554
14,2034,reg1,Oil_supply,CO2,34149801.387851104
15,2035,reg1,Oil_supply,CO2,33772809.91165746
16,2036,reg1,Oil_supply,CO2,32712410.60534866
17,2037,reg1,Oil_supply,CO2,31639611.61498432
18,2038,reg1,Oil_supply,CO2,28682388.613595337
19,2039,reg1,Oil_supply,CO2,26861076.3052773
20,2040,reg1,Oil_supply,CO2,25939771.119251102
21,2041,reg1,Oil_supply,CO2,24990545.658993945
22,2042,reg1,Oil_supply,CO2,24062900.42230764
23,2043,reg1,Oil_supply,CO2,23135255.185621385
24,2044,reg1,Oil_supply,CO2,22207609.948935147
25,2045,reg1,Oil_supply,CO2,21279964.712248873
26,2046,reg1,Oil_supply,CO2,21279964.712248843
27,2047,reg1,Oil_supply,CO2,21279964.712248843
28,2048,reg1,Oil_supply,CO2,21279964.712248843
29,2049,reg1,Oil_supply,CO2,21279964.712248843
30,2050,reg1,Oil_supply,CO2,21279964.712248843
31,2051,reg1,Oil_supply,CO2,21279964.712248843
32,2052,reg1,Oil_supply,CO2,21279964.712248843
33,2053,reg1,Oil_supply,CO2,21279964.712248843
34,2054,reg1,Oil_supply,CO2,21279964.712248843
35,2055,reg1,Oil_supply,CO2,21279964.712248843
36,2056,reg1,Oil_supply,CO2,21279964.712248843
37,2057,reg1,Oil_supply,CO2,21279964.712248843
38,2058,reg1,Oil_supply,CO2,21279964.712248843
39,2059,reg1,Oil_supply,CO2,21279964.712248843
40,2060,reg1,Oil_supply,CO2,21279964.712248843
41,2061,reg1,Oil_supply,CO2,21279964.712248843
42,2062,reg1,Oil_supply,CO2,21279964.712248843
43,2063,reg1,Oil_supply,CO2,21279964.712248843
44,2064,reg1,Oil_supply,CO2,21279964.712248843
45,2065,reg1,Oil_supply,CO2,21279964.712248843
46,2066,reg1,Oil_supply,CO2,21279964.712248843
47,2067,reg1,Oil_supply,CO2,21279964.712248843
48,2068,reg1,Oil_supply,CO2,21279964.712248843
49,2069,reg1,Oil_supply,CO2,21279964.712248843
50,2070,reg1,Oil_supply,CO2,21148655.5236051
51,2020,reg1,NG_supply,CO2,83320299.46976726
52,2021,reg1,NG_supply,CO2,72869227.42982432
53,2022,reg1,NG_supply,CO2,67796582.47164758
54,2023,reg1,NG_supply,CO2,71069870.98884891
55,2024,reg1,NG_supply,CO2,69725695.29157598
56,2025,reg1,NG_supply,CO2,68153045.03681467
57,2026,reg1,NG_supply,CO2,66398383.521754466
58,2027,reg1,NG_supply,CO2,64866557.127776995
59,2028,reg1,NG_supply,CO2,63917280.56927848
60,2029,reg1,NG_supply,CO2,63288300.97188982
61,2030,reg1,NG_supply,CO2,62652215.44631781
62,2031,reg1,NG_supply,CO2,60989732.23571237
63,2032,reg1,NG_supply,CO2,60206347.518883534
64,2033,reg1,NG_supply,CO2,58393901.349033386
65,2034,reg1,NG_supply,CO2,57197511.636116154
66,2035,reg1,NG_supply,CO2,56254627.24254905
67,2036,reg1,NG_supply,CO2,58250150.925824046
68,2037,reg1,NG_supply,CO2,60229624.854341805
69,2038,reg1,NG_supply,CO2,62014392.30768106
70,2039,reg1,NG_supply,CO2,63885524.11302277
71,2040,reg1,NG_supply,CO2,65532679.86668603
72,2041,reg1,NG_supply,CO2,68048731.48457727
73,2042,reg1,NG_supply,CO2,70225715.15183605
74,2043,reg1,NG_supply,CO2,72845233.94003505
75,2044,reg1,NG_supply,CO2,74576601.55443926
76,2045,reg1,NG_supply,CO2,76762573.71443608
77,2046,reg1,NG_supply,CO2,76377440.99953857
78,2047,reg1,NG_supply,CO2,75986428.71094505
79,2048,reg1,NG_supply,CO2,75593906.64008118
80,2049,reg1,NG_supply,CO2,75201249.17454776
81,2050,reg1,NG_supply,CO2,74810505.63609558
82,2051,reg1,NG_supply,CO2,74814742.30301663
83,2052,reg1,NG_supply,CO2,74814742.30301663
84,2053,reg1,NG_supply,CO2,74814742.30301663
85,2054,reg1,NG_supply,CO2,75326833.92284213
86,2055,reg1,NG_supply,CO2,74724324.47876334
87,2056,reg1,NG_supply,CO2,74814742.30301663
88,2057,reg1,NG_supply,CO2,74814742.30301663
89,2058,reg1,NG_supply,CO2,74814742.30301663
90,2059,reg1,NG_supply,CO2,74814742.30301663
91,2060,reg1,NG_supply,CO2,74814742.30301663
92,2061,reg1,NG_supply,CO2,74805770.86103708
93,2062,reg1,NG_supply,CO2,74809032.6390347
94,2063,reg1,NG_supply,CO2,74821520.30449583
95,2064,reg1,NG_supply,CO2,74830884.97754855
96,2065,reg1,NG_supply,CO2,75276138.74974483
97,2066,reg1,NG_supply,CO2,74760568.63591482
98,2067,reg1,NG_supply,CO2,74595813.32620749
99,2068,reg1,NG_supply,CO2,74423372.40634508
100,2069,reg1,NG_supply,CO2,74382930.47270952
101,2070,reg1,NG_supply,CO2,74362607.99134593
102,2020,reg1,SFF_supply,CO2,2185148.467947185
103,2021,reg1,SFF_supply,CO2,2239359.103895283
104,2022,reg1,SFF_supply,CO2,2237315.5912333014
105,2023,reg1,SFF_supply,CO2,2302436.368476362
106,2024,reg1,SFF_supply,CO2,2367557.145719421
107,2025,reg1,SFF_supply,CO2,2432677.9229624784
108,2026,reg1,SFF_supply,CO2,2323693.538935994
109,2027,reg1,SFF_supply,CO2,2214631.416560869
110,2028,reg1,SFF_supply,CO2,2105489.481349627
111,2029,reg1,SFF_supply,CO2,1996265.5843406506
112,2030,reg1,SFF_supply,CO2,1886957.4987258918
113,2031,reg1,SFF_supply,CO2,1806602.6972934369
114,2032,reg1,SFF_supply,CO2,1758446.8681765678
115,2033,reg1,SFF_supply,CO2,1645893.094428526
116,2034,reg1,SFF_supply,CO2,1565538.2929960699
117,2035,reg1,SFF_supply,CO2,1485183.4915636145
118,2036,reg1,SFF_supply,CO2,1407229.3429197436
119,2037,reg1,SFF_supply,CO2,1329275.194275873
120,2038,reg1,SFF_supply,CO2,1251321.0456320026
121,2039,reg1,SFF_supply,CO2,1173366.8969881313
122,2040,reg1,SFF_supply,CO2,1095412.7483442603
123,2041,reg1,SFF_supply,CO2,1019285.3555316062
124,2042,reg1,SFF_supply,CO2,943157.9627189527
125,2043,reg1,SFF_supply,CO2,871346.4440430198
126,2044,reg1,SFF_supply,CO2,790903.1770936449
127,2045,reg1,SFF_supply,CO2,714775.7842809901
128,2046,reg1,SFF_supply,CO2,720272.8614922016
129,2047,reg1,SFF_supply,CO2,725769.9387034132
130,2048,reg1,SFF_supply,CO2,731267.015914625
131,2049,reg1,SFF_supply,CO2,736764.0931258369
132,2050,reg1,SFF_supply,CO2,742261.1703370486
133,2051,reg1,SFF_supply,CO2,742261.1703370486
134,2052,reg1,SFF_supply,CO2,742261.1703370486
135,2053,reg1,SFF_supply,CO2,742261.1703370486
136,2054,reg1,SFF_supply,CO2,742261.1703370486
137,2055,reg1,SFF_supply,CO2,742261.1703370486
138,2056,reg1,SFF_supply,CO2,742261.1703370486
139,2057,reg1,SFF_supply,CO2,742261.1703370486
140,2058,reg1,SFF_supply,CO2,742261.1703370486
141,2059,reg1,SFF_supply,CO2,742261.1703370486
142,2060,reg1,SFF_supply,CO2,742261.1703370486
143,2061,reg1,SFF_supply,CO2,742261.1703370486
144,2062,reg1,SFF_supply,CO2,742261.1703370486
145,2063,reg1,SFF_supply,CO2,742261.1703370486
146,2064,reg1,SFF_supply,CO2,742261.1703370486
147,2065,reg1,SFF_supply,CO2,742261.1703370486
148,2066,reg1,SFF_supply,CO2,742261.1703370486
149,2067,reg1,SFF_supply,CO2,742261.1703370486
150,2068,reg1,SFF_supply,CO2,742261.1703370486
151,2069,reg1,SFF_supply,CO2,742261.1703370486
152,2070,reg1,SFF_supply,CO2,742261.1703370486
153,2020,reg1,OP_supply,CO2,0.0
154,2021,reg1,OP_supply,CO2,0.0
155,2022,reg1,OP_supply,CO2,0.0
156,2023,reg1,OP_supply,CO2,0.0
157,2024,reg1,OP_supply,CO2,0.0
158,2025,reg1,OP_supply,CO2,0.0
