Year,Actualized emission
Y0,907372520.5918913
Y1,814752458.4928515
Y2,780911736.8825883
Y3,724285783.7772652
Y4,691782952.2715263
Y5,659384958.0013285
Y6,611248190.0040311
Y7,566966756.5971278
Y8,526597223.5516035
Y9,487285174.07997113
Y10,459466933.97978157
Y11,430378462.19555724
Y12,403236927.08611137
Y13,376906908.46016836
Y14,327424385.94439995
Y15,306207180.93941224
Y16,283905839.2193226
Y17,264562872.31652552
Y18,243268133.79102552
Y19,223033592.49399137
Y20,205395003.48295778
Y21,188129743.72320846
Y22,173888422.24220815
Y23,160562768.35591438
Y24,148073669.03814298
Y25,136352251.4810647
Y26,129305253.78901906
Y27,122461166.82646385
Y28,116121110.82037553
Y29,110127728.64161867
Y30,104441793.08711563
Y31,99469274.74458103
Y32,94732642.6138867
Y33,90221564.3941778
Y34,85950329.8416659
Y35,81820539.6600869
Y36,77938278.78056574
Y37,74226932.17196736
Y38,70692316.35425463
Y39,67326015.5754806
Y40,64120014.83379104
Y41,61066680.79408671
Y42,58158743.61341591
Y43,55391054.96611425
Y44,52749412.59419787
Y45,50288876.56214409
Y46,47880986.02710218
Y47,45563587.04595768
Y48,43386272.39904308
Y49,41455063.911967754
Y50,39536153.4394783
