Year,Actualized cost
Y0,68121070383.391655
Y1,94954019738.67677
Y2,150951875929.63223
Y3,85790387478.5124
Y4,83249067207.71413
Y5,80891682478.59029
Y6,75131719658.56804
Y7,69541843268.32744
Y8,64924464376.83898
Y9,61678781211.150154
Y10,58530797246.410095
Y11,53304721522.25641
Y12,50253342634.18096
Y13,46979396618.74528
Y14,44577739443.85395
Y15,42496183571.096375
Y16,40543625332.38142
Y17,38294984430.3767
Y18,36391581931.84022
Y19,35945570911.051544
Y20,33194364062.663353
Y21,31672764180.94932
Y22,29483938919.37109
Y23,28498264814.243195
Y24,26540262019.47079
Y25,26265307038.80784
Y26,24814195817.780483
Y27,22987827412.735737
Y28,21792010895.71448
Y29,20565661251.79895
Y30,19386118956.723907
Y31,18199927149.479736
Y32,17038081177.380823
Y33,16249699931.373945
Y34,15370188581.057766
Y35,14651769528.952295
Y36,13739464209.800653
Y37,13066405431.077179
Y38,12428277133.843925
Y39,11803871547.735014
Y40,11344397088.428389
Y41,10753515446.047522
Y42,10236553441.273674
Y43,9711354210.975151
Y44,9222764067.838287
Y45,8735461829.486578
Y46,8270382308.085524
Y47,7828311303.315511
Y48,7452751008.667072
Y49,7090089468.563603
Y50,6793581868.712769
