Year,Actualized emission
Y0,907372520.5918913
Y1,817298723.9150186
Y2,783750383.9971008
Y3,748676297.4518554
Y4,713975718.6886249
Y5,679981741.0037568
Y6,630588041.4541394
Y7,585179649.6410687
Y8,544757994.31396
Y9,507525233.2597081
Y10,472509087.2984034
Y11,440151988.28282154
Y12,411393333.22147423
Y13,384047160.1350899
Y14,358900301.05873334
Y15,335364271.8936166
Y16,315333203.43217224
Y17,296268985.60324895
Y18,277116992.64974564
Y19,259846094.77124655
Y20,242473473.2274111
Y21,223229081.55550447
Y22,207353849.77163628
Y23,192889296.18674842
Y24,180893051.1805924
Y25,169133545.09147614
Y26,160199095.86777285
Y27,151456681.34953982
Y28,143550319.24181297
Y29,136060942.86435097
Y30,128960208.09690596
Y31,122819262.8811627
Y32,116971458.26887421
Y33,111401435.43392572
Y34,106136509.1053196
Y35,101029694.14579687
Y36,96232748.45820165
Y37,91650236.62685871
Y38,87282657.2062651
Y39,83113412.84034088
Y40,79155631.2765151
Y41,75375774.97491401
Y42,71766442.59448074
Y43,68349592.27055983
Y44,64851404.05030042
Y45,61478377.01092363
Y46,58204869.83012537
Y47,55113370.21736251
Y48,52234614.22864996
Y49,49746704.42197746
Y50,47404500.52889064
