Year,Actualized cost
Y0,68121070383.16155
Y1,94954019791.21613
Y2,150951875898.8308
Y3,85790387526.1537
Y4,83249067214.8744
Y5,80891682498.41347
Y6,75131719689.13716
Y7,69541843176.17043
Y8,64923494112.72016
Y9,61678981199.86232
Y10,58671261906.11971
Y11,53288010826.890625
Y12,50160167082.9693
Y13,46967359466.324036
Y14,45249122374.497284
Y15,43441762426.993324
Y16,41887046893.77364
Y17,39482317068.96432
Y18,36964728821.78615
Y19,36856207854.11473
Y20,33323568827.05531
Y21,32020040607.893734
Y22,30315434671.45408
Y23,28596001676.886986
Y24,26760744915.058384
Y25,25877741986.512688
Y26,24298878700.825413
Y27,22659491983.45647
Y28,21561448584.305084
Y29,20362194236.12296
Y30,19193377157.26521
Y31,18003298059.59235
Y32,16849216654.214224
Y33,16174319120.26204
Y34,15145563650.251236
Y35,14509327834.258352
Y36,13578398650.465578
Y37,12912811303.972086
Y38,12289042972.172396
Y39,11678953090.936646
Y40,11282949225.170021
Y41,10700799957.139355
Y42,10164738175.664583
Y43,9612416733.211994
Y44,9160929791.202936
Y45,8671340433.570934
Y46,8165493282.931754
Y47,7742582620.795334
Y48,7397213918.27292
Y49,7093641312.339587
Y50,6802430518.037097
